experiment_id,sample_name,filename,met_id,scan_type,precursor_formula
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glu-L_147_EPI_peakList.txt,glu-L,EPI,C4[13C]H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glu-L_148_EPI_peakList.txt,glu-L,EPI,C3[13C]2H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glu-L_146_EPI_peakList.txt,glu-L,EPI,C5H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glu-L_147_EPI_peakList.txt,glu-L,EPI,C4[13C]H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glu-L_148_EPI_peakList.txt,glu-L,EPI,C3[13C]2H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glu-L_146_EPI_peakList.txt,glu-L,EPI,C5H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glu-L_147_EPI_peakList.txt,glu-L,EPI,C4[13C]H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_glu-L_148_EPI_peakList.txt,glu-L,EPI,C3[13C]2H8NO4-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glx_73_EPI_peakList.txt,glx,EPI,C2HO3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glx_73_EPI_peakList.txt,glx,EPI,C2HO3-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glyc3p_171_EPI_peakList.txt,glyc3p,EPI,C3H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glyc3p_172_EPI_peakList.txt,glyc3p,EPI,C2[13C]H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_glyc3p_173_EPI_peakList.txt,glyc3p,EPI,C[13C]2H8O6P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_glyc3p_171_EPI_peakList.txt,glyc3p,EPI,C3H8O6P-
