experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glu-L_149_EPI.txt,10,_,glu-L,_,149,_,EPI,.txt,C2[13C]3H8NO4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_149_EPI.txt,10,_,met-L,_,149,_,EPI,.txt,C4[13C]H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_149_EPI.txt,10,_,met-L,_,149,_,EPI,.txt,C4[13C]H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_akg_150_EPI.txt,10,_,akg,_,150,_,EPI,.txt,[13C]5H5O5-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glu-L_150_EPI.txt,10,_,glu-L,_,150,_,EPI,.txt,C[13C]4H8NO4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_150_EPI.txt,10,_,met-L,_,150,_,EPI,.txt,C3[13C]2H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_150_EPI.txt,10,_,met-L,_,150,_,EPI,.txt,C3[13C]2H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glu-L_151_EPI.txt,10,_,glu-L,_,151,_,EPI,.txt,[13C]5H8NO4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_151_EPI.txt,10,_,met-L,_,151,_,EPI,.txt,C2[13C]3H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_151_EPI.txt,10,_,met-L,_,151,_,EPI,.txt,C2[13C]3H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_152_EPI.txt,10,_,met-L,_,152,_,EPI,.txt,C[13C]4H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_152_EPI.txt,10,_,met-L,_,152,_,EPI,.txt,C[13C]4H10NO2S-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_met-L_153_EPI.txt,10,_,met-L,_,153,_,EPI,.txt,[13C]5H10NO2S-,
