,CF01,CF02,CF03,CF04,CF05,CF06,CF07,CF08,DE01,DE02,DE03,DE04,DE05,DE06,DE07,DE08,FSF01,FSF02,FSF03,FSF04,FSF05,FSF06,FSF07,FSF08,SST01,SST02,SST03,SST04,SST05,SST06,SST07,SST08
ditp,534096.7627,494082.7026,636566.2289,529720.7194,382833.2685,427316.9106,478176.0675,415388.927,638908.4371,530102.2005,507682.2753,490252.2503,371090.9292,325876.0127,367646.5309,394860.413,509766.8517,509276.1562,653246.4454,584630.2742,215319.3976,292657.0762,326994.0006,314325.2748,847807.1783,768253.701,519280.2196,544286.0135,398715.1723,423648.3319,429012.7938,292158.6979
dtdpglu,161430.0,154012.4146,137643.7314,140858.0,144204.0,135247.0,149251.8783,148535.0,182199.0,165822.6352,157166.6631,167336.0,119498.0,123042.0,124646.6447,121171.0,199359.475,173046.0,180952.882,157052.6653,94693.0,100564.5185,125628.3554,101419.5401,190827.6826,165238.5369,149126.0,138719.6078,133145.9832,125660.5784,132327.1601,92724.0
dtmp,77340.92387,75706.38409,81629.73504,75151.45787,77374.76117,63303.0,61626.59745,68159.76385,73801.04391,77439.30763,77847.0,82806.68483,62662.0,67159.57293,57356.0,53148.0,95649.97252,90563.0,99769.01119,83794.0,53348.92853,45373.0,60696.12378,63164.25117,96113.82459,85274.42879,92683.7263,83977.0,58745.4832,66156.35294,75269.4179,47935.0
dttp,136174.9116,164997.4846,157559.9195,178629.2518,136054.8085,135683.9929,147936.3172,124379.9365,188417.9116,195838.1908,179830.5508,165792.3635,125909.5116,109808.519,114252.0327,135171.8255,196603.7637,167644.5208,199160.0807,187604.1473,82631.47687,78567.49766,98052.38909,101000.1436,197778.4809,258074.9176,178175.009,154825.3201,129221.8314,122510.6252,132910.5991,100844.0466
dump,31625.65056,36674.45288,40080.70072,36107.2109,25915.58007,27179.49084,31134.73916,31746.47396,37738.85229,38218.86801,37628.0,32986.69042,26224.92174,28778.47805,27262.55138,30832.63961,49480.70794,37947.78575,35419.69656,34908.03609,25989.77969,22460.96183,31960.98935,21719.92138,40623.20697,38308.23019,37657.48454,27590.70239,26984.89896,30448.33916,29141.29471,21817.50262
dutp,148371.6886,174339.5616,201545.2815,232581.9012,147571.945,138793.4448,146983.6287,139220.0132,213873.97,202905.8209,173599.2917,199153.5702,124593.7661,139463.1774,137794.8821,131621.1051,194231.2283,185531.4491,259511.1455,206286.9986,102197.3323,106272.7808,105496.7549,120145.8638,225638.6797,280038.8002,168510.6054,179836.1175,142646.6533,142950.4189,146242.8672,116708.8016
f6p,193009.4571,197860.9589,267295.3426,210488.2398,183030.0113,174406.2944,203597.0166,160342.159,222449.4054,217827.9725,246325.2318,200943.984,175329.1979,188910.0737,180914.727,156214.6328,276992.0413,259613.3133,253313.9105,218535.1002,186302.6891,186503.2978,202674.8386,142737.6182,285305.9591,237590.0738,226577.4075,206997.8584,158188.2842,183965.1591,159893.9687,120031.219
fol,773548.0,894338.0303,957013.4519,956509.0,779300.415,852041.8588,783736.0,798066.0,767789.608,963982.0,688685.0,814366.0686,669768.0,649404.0,674179.7591,633834.8912,957465.0,834198.0,1135136.0,852478.1553,588318.0,544306.0,629996.0,614607.6334,984875.1716,1017372.797,890924.0232,833559.7935,705144.4206,789746.7035,855283.7765,579836.0
fum,610141.5027,577520.0407,632199.8524,576306.4915,510938.7798,553429.6088,537154.6381,506024.2549,608973.5738,664970.3113,648734.8169,620862.8079,524348.7786,477347.9657,471603.7826,555741.8329,781625.5495,593512.1719,635128.444,581814.405,377777.575,370868.4013,438584.7154,456997.2685,715105.562,559006.4437,605906.9818,578818.8289,473427.5316,542298.7487,527522.6962,473843.7274
g1p,507582.3111,533272.1657,585018.3634,552839.5524,462568.3652,453580.5962,443863.7235,462545.6828,672600.1997,589611.355,600263.1333,558175.3715,433541.3156,472147.5261,415666.1547,441679.6263,695682.3027,741591.3465,620685.6953,614185.791,363020.6885,380677.0355,413479.5951,411478.5667,639521.5591,600482.4349,497127.0693,501724.437,460723.7082,468706.099,448591.333,369605.5773
