sample_name_short,met_id,sample_id,time [hr],OD600,culture_density [gDW*L-1],concentration [mM],growth_rate [hr-1],,,
OxicEvo04gndEcoliGlc_Broth-1,glc-D,140715_2_OxicEvo04gndEcoliGlcM9_Broth-1,17664955.12,0.108749846,0.048937431,20.57074,0.737214132,,-30.08205471,
OxicEvo04gndEcoliGlc_Broth-1,glc-D,140715_3_OxicEvo04gndEcoliGlcM9_Broth-1,17664956.02,0.211144549,0.095015047,19.08983,0.737214132,,-32.13946609,
OxicEvo04gndEcoliGlc_Broth-1,glc-D,140715_4_OxicEvo04gndEcoliGlcM9_Broth-1,17664957.12,0.475077768,0.213784996,15.39523,0.737214132,,-31.10719545,
OxicEvo04gndEcoliGlc_Broth-1,glc-D,140715_5_OxicEvo04gndEcoliGlcM9_Broth-1,17664957.62,0.686829156,0.30907312,12.22183,0.737214132,,-33.30320562,
OxicEvo04gndEcoliGlc_Broth-1,glc-D,140715_6_OxicEvo04gndEcoliGlcM9_Broth-1,17664958.25,1.095523776,0.492985699,6.76574,0.737214132,-31.21725375,-29.66675814,
OxicEvo04gndEcoliGlc_Broth-2,ac,140715_1_OxicEvo04gndEcoliGlcM9_Broth-2,17664954.22,0.059765704,0.026894567,0.70243,0.77651895,,,
OxicEvo04gndEcoliGlc_Broth-2,ac,140715_2_OxicEvo04gndEcoliGlcM9_Broth-2,17664955.15,0.123369386,0.055516224,1.52788,0.77651895,,28.8400492,
OxicEvo04gndEcoliGlc_Broth-2,ac,140715_3_OxicEvo04gndEcoliGlcM9_Broth-2,17664956.04,0.244963218,0.110233448,3.02393,0.77651895,,27.34148185,
OxicEvo04gndEcoliGlc_Broth-2,ac,140715_4_OxicEvo04gndEcoliGlcM9_Broth-2,17664957.14,0.575522839,0.258985277,6.72103,0.77651895,,24.85414817,
OxicEvo04gndEcoliGlc_Broth-2,ac,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,17664957.64,0.848557957,0.381851081,9.79528,0.77651895,,25.02120128,
OxicEvo04gndEcoliGlc_Broth-2,ac,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,17664958.24,1.352148054,0.608466624,15.70456,0.77651895,25.61033367,26.07623428,
OxicEvo04gndEcoliGlc_Broth-2,glc-D,140715_1_OxicEvo04gndEcoliGlcM9_Broth-2,17664954.22,0.059765704,0.026894567,21.23227,0.77651895,,,
OxicEvo04gndEcoliGlc_Broth-2,glc-D,140715_2_OxicEvo04gndEcoliGlcM9_Broth-2,17664955.15,0.123369386,0.055516224,20.39752,0.77651895,,-29.16497798,
OxicEvo04gndEcoliGlc_Broth-2,glc-D,140715_3_OxicEvo04gndEcoliGlcM9_Broth-2,17664956.04,0.244963218,0.110233448,18.58799,0.77651895,,-33.07057361,
OxicEvo04gndEcoliGlc_Broth-2,glc-D,140715_4_OxicEvo04gndEcoliGlcM9_Broth-2,17664957.14,0.575522839,0.258985277,13.91707,0.77651895,,-31.40075674,
OxicEvo04gndEcoliGlc_Broth-2,glc-D,140715_5_OxicEvo04gndEcoliGlcM9_Broth-2,17664957.64,0.848557957,0.381851081,10.00523,0.77651895,,-31.83831374,
OxicEvo04gndEcoliGlc_Broth-2,glc-D,140715_6_OxicEvo04gndEcoliGlcM9_Broth-2,17664958.24,1.352148054,0.608466624,3.65837,0.77651895,-30.4781692,-28.00716979,
OxicEvo04gndEcoliGlc_Broth-3,ac,140715_1_OxicEvo04gndEcoliGlcM9_Broth-3,17664954.25,0.070236971,0.031606637,0.70333,0.755687481,,,
OxicEvo04gndEcoliGlc_Broth-3,ac,140715_2_OxicEvo04gndEcoliGlcM9_Broth-3,17664955.19,0.142192695,0.063986713,1.52881,0.755687481,,25.49345494,
OxicEvo04gndEcoliGlc_Broth-3,ac,140715_3_OxicEvo04gndEcoliGlcM9_Broth-3,17664956.05,0.273721809,0.123174814,3.05898,0.755687481,,25.85266242,
OxicEvo04gndEcoliGlc_Broth-3,ac,140715_4_OxicEvo04gndEcoliGlcM9_Broth-3,17664957.15,0.628520422,0.28283419,6.89392,0.755687481,,24.01951011,
OxicEvo04gndEcoliGlc_Broth-3,ac,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,17664957.65,0.917096098,0.412693244,10.58233,0.755687481,,28.40317935,
OxicEvo04gndEcoliGlc_Broth-3,ac,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,17664958.22,1.407309734,0.63328938,16.59943,0.755687481,26.32393708,27.27654304,
OxicEvo04gndEcoliGlc_Broth-3,glc-D,140715_1_OxicEvo04gndEcoliGlcM9_Broth-3,17664954.25,0.070236971,0.031606637,21.27837,0.755687481,,,
OxicEvo04gndEcoliGlc_Broth-3,glc-D,140715_2_OxicEvo04gndEcoliGlcM9_Broth-3,17664955.19,0.142192695,0.063986713,20.35681,0.755687481,,-28.46071175,
OxicEvo04gndEcoliGlc_Broth-3,glc-D,140715_3_OxicEvo04gndEcoliGlcM9_Broth-3,17664956.05,0.273721809,0.123174814,18.60996,0.755687481,,-29.51353337,
OxicEvo04gndEcoliGlc_Broth-3,glc-D,140715_4_OxicEvo04gndEcoliGlcM9_Broth-3,17664957.15,0.628520422,0.28283419,13.26927,0.755687481,,-33.45052528,
OxicEvo04gndEcoliGlc_Broth-3,glc-D,140715_5_OxicEvo04gndEcoliGlcM9_Broth-3,17664957.65,0.917096098,0.412693244,9.25095,0.755687481,,-30.94370301,
OxicEvo04gndEcoliGlc_Broth-3,glc-D,140715_6_OxicEvo04gndEcoliGlcM9_Broth-3,17664958.22,1.407309734,0.63328938,3.33124,0.755687481,-30.31302109,-26.83505752,
OxicEvo04pgiEcoliGlc_Broth-1,ac,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-1,17665313.23,0.214327064,0.096447179,1.1448,0.16943167,,,
OxicEvo04pgiEcoliGlc_Broth-1,ac,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-1,17665315.91,0.337695578,0.15196301,1.8903,0.16943167,,13.42860197,
OxicEvo04pgiEcoliGlc_Broth-1,ac,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-1,17665316.96,0.403448193,0.181551687,2.34279,0.16943167,,15.29267436,
OxicEvo04pgiEcoliGlc_Broth-1,ac,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-1,17665318.3,0.505706762,0.227568043,2.98521,0.16943167,,13.96068831,
OxicEvo04pgiEcoliGlc_Broth-1,ac,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-1,17665320.83,0.776800745,0.349560335,4.32729,0.16943167,,11.00135079,
OxicEvo04pgiEcoliGlc_Broth-1,ac,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-1,17665322.23,0.984750405,0.443137682,4.68993,0.16943167,12.57682136,3.875296857,
OxicEvo04pgiEcoliGlc_Broth-1,glc-D,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-1,17665313.23,0.214327064,0.096447179,20.55113,0.16943167,,,
OxicEvo04pgiEcoliGlc_Broth-1,glc-D,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-1,17665315.91,0.337695578,0.15196301,19.67319,0.16943167,,-15.81422778,
OxicEvo04pgiEcoliGlc_Broth-1,glc-D,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-1,17665316.96,0.403448193,0.181551687,19.11488,0.16943167,,-18.86904246,
OxicEvo04pgiEcoliGlc_Broth-1,glc-D,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-1,17665318.3,0.505706762,0.227568043,18.42069,0.16943167,,-15.08572307,
OxicEvo04pgiEcoliGlc_Broth-1,glc-D,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-1,17665320.83,0.776800745,0.349560335,16.20263,0.16943167,,-18.18196838,
OxicEvo04pgiEcoliGlc_Broth-1,glc-D,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-1,17665322.23,0.984750405,0.443137682,13.86677,0.16943167,-16.38231041,-24.96181038,
OxicEvo04pgiEcoliGlc_Broth-2,ac,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-2,17665313.25,0.302995063,0.136347779,1.26483,0.18681373,,,
OxicEvo04pgiEcoliGlc_Broth-2,ac,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-2,17665315.93,0.500196,0.2250882,2.32004,0.18681373,,11.89097348,
OxicEvo04pgiEcoliGlc_Broth-2,ac,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-2,17665316.98,0.608595863,0.273868138,2.93796,0.18681373,,12.66750277,
OxicEvo04pgiEcoliGlc_Broth-2,ac,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-2,17665318.31,0.780737833,0.351332025,3.93505,0.18681373,,12.87167531,
OxicEvo04pgiEcoliGlc_Broth-2,ac,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-2,17665319.48,0.970866299,0.436889835,4.91832,0.18681373,,11.49246344,
OxicEvo04pgiEcoliGlc_Broth-2,ac,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-2,17665320.16,1.103061544,0.496377695,5.63377,0.18681373,12.18494145,12.02682365,
OxicEvo04pgiEcoliGlc_Broth-2,glc-D,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-2,17665313.25,0.302995063,0.136347779,20.045,0.18681373,,,
OxicEvo04pgiEcoliGlc_Broth-2,glc-D,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-2,17665315.93,0.500196,0.2250882,18.47164,0.18681373,,-17.72991351,
OxicEvo04pgiEcoliGlc_Broth-2,glc-D,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-2,17665316.98,0.608595863,0.273868138,17.74632,0.18681373,,-14.86922758,
OxicEvo04pgiEcoliGlc_Broth-2,glc-D,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-2,17665318.31,0.780737833,0.351332025,16.25705,0.18681373,,-19.22534564,
OxicEvo04pgiEcoliGlc_Broth-2,glc-D,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-2,17665319.48,0.970866299,0.436889835,14.55831,0.18681373,,-19.85487948,
OxicEvo04pgiEcoliGlc_Broth-2,glc-D,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-2,17665320.16,1.103061544,0.496377695,13.31701,0.18681373,-17.47189163,-20.86644238,
OxicEvo04pgiEcoliGlc_Broth-3,ac,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-3,17665313.26,0.198252595,0.089213668,1.06445,0.166212343,,,
OxicEvo04pgiEcoliGlc_Broth-3,ac,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-3,17665315.95,0.309681723,0.139356776,1.8419,0.166212343,,15.50462337,
OxicEvo04pgiEcoliGlc_Broth-3,ac,140716_3_OxicEvo04pgiEcoliGlcM9_Broth-3,17665317,0.36873124,0.165929058,2.12725,0.166212343,,10.73863339,
OxicEvo04pgiEcoliGlc_Broth-3,ac,140716_4_OxicEvo04pgiEcoliGlcM9_Broth-3,17665318.33,0.460210728,0.207094828,2.8282,0.166212343,,17.02749655,
OxicEvo04pgiEcoliGlc_Broth-3,ac,140716_5_OxicEvo04pgiEcoliGlcM9_Broth-3,17665320.85,0.699234072,0.314655332,3.93904,0.166212343,,10.32758262,
OxicEvo04pgiEcoliGlc_Broth-3,ac,140716_6_OxicEvo04pgiEcoliGlcM9_Broth-3,17665322.28,0.887335583,0.399301012,4.24342,0.166212343,12.70557523,3.595930717,
OxicEvo04pgiEcoliGlc_Broth-3,glc-D,140716_1_OxicEvo04pgiEcoliGlcM9_Broth-3,17665313.26,0.198252595,0.089213668,20.55346,0.166212343,,,
OxicEvo04pgiEcoliGlc_Broth-3,glc-D,140716_2_OxicEvo04pgiEcoliGlcM9_Broth-3,17665315.95,0.309681723,0.139356776,19.7667,0.166212343,,-15.69029196,
