component_group_name,actual_concentration,sample_type,sample_name
2obut,N/A,Blank,140826_Blank-02
2obut,N/A,Blank,140826_Blank-02
f1p,N/A,Blank,140826_Blank-02
f1p,N/A,Blank,140826_Blank-02
ru5p-D,N/A,Blank,140826_Blank-02
ru5p-D,N/A,Blank,140826_Blank-02
dcmp,N/A,Blank,140826_Blank-02
dcmp,N/A,Blank,140826_Blank-02
ump,N/A,Blank,140826_Blank-02
ump,N/A,Blank,140826_Blank-02
dhap,N/A,Blank,140826_Blank-02
dhap,N/A,Blank,140826_Blank-02
dump,N/A,Blank,140826_Blank-02
dump,N/A,Blank,140826_Blank-02
dimp,N/A,Blank,140826_Blank-02
dimp,N/A,Blank,140826_Blank-02
35cgmp,N/A,Blank,140826_Blank-02
35cgmp,N/A,Blank,140826_Blank-02
dgmp,N/A,Blank,140826_Blank-02
dgmp,N/A,Blank,140826_Blank-02
dtmp,N/A,Blank,140826_Blank-02
ribflv,N/A,Blank,140826_Blank-02
amp,N/A,Blank,140826_Blank-02
amp,N/A,Blank,140826_Blank-02
gmp,N/A,Blank,140826_Blank-02
gmp,N/A,Blank,140826_Blank-02
imp,N/A,Blank,140826_Blank-02
imp,N/A,Blank,140826_Blank-02
camp,N/A,Blank,140826_Blank-02
camp,N/A,Blank,140826_Blank-02
gthox,N/A,Blank,140826_Blank-02
gthox,N/A,Blank,140826_Blank-02
btn,N/A,Blank,140826_Blank-02
btn,N/A,Blank,140826_Blank-02
mmal,N/A,Blank,140826_Blank-02
mmal,N/A,Blank,140826_Blank-02
succ,N/A,Blank,140826_Blank-02
succ,N/A,Blank,140826_Blank-02
mal-L,N/A,Blank,140826_Blank-02
glutacon,N/A,Blank,140826_Blank-02
fum,N/A,Blank,140826_Blank-02
udpg,N/A,Blank,140826_Blank-02
damp,N/A,Blank,140826_Blank-02
damp,N/A,Blank,140826_Blank-02
oxa,N/A,Blank,140826_Blank-02
oxa,N/A,Blank,140826_Blank-02
actp,N/A,Blank,140826_Blank-02
actp,N/A,Blank,140826_Blank-02
akg,N/A,Blank,140826_Blank-02
oaa,N/A,Blank,140826_Blank-02
dtdpglu,N/A,Blank,140826_Blank-02
dtdpglu,N/A,Blank,140826_Blank-02
nadh,N/A,Blank,140826_Blank-02
nadh,N/A,Blank,140826_Blank-02
adpglc,N/A,Blank,140826_Blank-02
adpglc,N/A,Blank,140826_Blank-02
chor,N/A,Blank,140826_Blank-02
fol,N/A,Blank,140826_Blank-02
fol,N/A,Blank,140826_Blank-02
dgdp,N/A,Blank,140826_Blank-02
dgdp,N/A,Blank,140826_Blank-02
gdp,N/A,Blank,140826_Blank-02
gdp,N/A,Blank,140826_Blank-02
6pgc,N/A,Blank,140826_Blank-02
Pool_2pg_3pg,N/A,Blank,140826_Blank-02
Pool_2pg_3pg,N/A,Blank,140826_Blank-02
dcdp,N/A,Blank,140826_Blank-02
dcdp,N/A,Blank,140826_Blank-02
adp,N/A,Blank,140826_Blank-02
adp,N/A,Blank,140826_Blank-02
2mcit,N/A,Blank,140826_Blank-02
2mcit,N/A,Blank,140826_Blank-02
udp,N/A,Blank,140826_Blank-02
udp,N/A,Blank,140826_Blank-02
acon-C,N/A,Blank,140826_Blank-02
acon-C,N/A,Blank,140826_Blank-02
nadp,N/A,Blank,140826_Blank-02
nadp,N/A,Blank,140826_Blank-02
pep,N/A,Blank,140826_Blank-02
pep,N/A,Blank,140826_Blank-02
dadp,N/A,Blank,140826_Blank-02
dadp,N/A,Blank,140826_Blank-02
cit,N/A,Blank,140826_Blank-02
cit,N/A,Blank,140826_Blank-02
icit,N/A,Blank,140826_Blank-02
icit,N/A,Blank,140826_Blank-02
fad,N/A,Blank,140826_Blank-02
fad,N/A,Blank,140826_Blank-02
fdp,N/A,Blank,140826_Blank-02
fdp,N/A,Blank,140826_Blank-02
udpglcur,N/A,Blank,140826_Blank-02
udpglcur,N/A,Blank,140826_Blank-02
dgtp,N/A,Blank,140826_Blank-02
ctp,N/A,Blank,140826_Blank-02
ctp,N/A,Blank,140826_Blank-02
dctp,N/A,Blank,140826_Blank-02
dctp,N/A,Blank,140826_Blank-02
ditp,N/A,Blank,140826_Blank-02
ditp,N/A,Blank,140826_Blank-02
dutp,N/A,Blank,140826_Blank-02
dutp,N/A,Blank,140826_Blank-02
itp,N/A,Blank,140826_Blank-02
itp,N/A,Blank,140826_Blank-02
utp,N/A,Blank,140826_Blank-02
utp,N/A,Blank,140826_Blank-02
23dpg,N/A,Blank,140826_Blank-02
23dpg,N/A,Blank,140826_Blank-02
atp,N/A,Blank,140826_Blank-02
atp,N/A,Blank,140826_Blank-02
datp,N/A,Blank,140826_Blank-02
datp,N/A,Blank,140826_Blank-02
dttp,N/A,Blank,140826_Blank-02
dttp,N/A,Blank,140826_Blank-02
gtp,N/A,Blank,140826_Blank-02
gtp,N/A,Blank,140826_Blank-02
prpp,N/A,Blank,140826_Blank-02
prpp,N/A,Blank,140826_Blank-02
nadph,N/A,Blank,140826_Blank-02
nadph,N/A,Blank,140826_Blank-02
phpyr,N/A,Blank,140826_Blank-02
phpyr,N/A,Blank,140826_Blank-02
coa,N/A,Blank,140826_Blank-02
accoa,N/A,Blank,140826_Blank-02
malcoa,N/A,Blank,140826_Blank-02
succoa,N/A,Blank,140826_Blank-02
arg-L,0.0,Standard,140826_CM1_Level14
orn,0.0,Standard,140826_CM1_Level14
his-L,0.0,Standard,140826_CM1_Level14
his-L,0.0,Standard,140826_CM1_Level14
asn-L,0.0,Standard,140826_CM1_Level14
asn-L,0.0,Standard,140826_CM1_Level14
ser-L,0.0,Standard,140826_CM1_Level14
ser-L,0.0,Standard,140826_CM1_Level14
citr-L,0.0,Standard,140826_CM1_Level14
gln-L,0.0,Standard,140826_CM1_Level14
gln-L,0.0,Standard,140826_CM1_Level14
Hexose_Pool_fru_glc-D,0.005,Standard,140826_CM1_Level14
Hexose_Pool_fru_glc-D,0.005,Standard,140826_CM1_Level14
Lcystin,0.0,Standard,140826_CM1_Level14
thr-L,0.0,Standard,140826_CM1_Level14
ala-L,0.0,Standard,140826_CM1_Level14
ala-L,0.0,Standard,140826_CM1_Level14
cytd,0.0005,Standard,140826_CM1_Level14
ura,0.02,Standard,140826_CM1_Level14
AICAr,0.0001,Standard,140826_CM1_Level14
met-L,0.0,Standard,140826_CM1_Level14
