,OxicWtGlcDil0p25_Broth-1,OxicWtGlcDil0p25_Broth-2,OxicWtGlcDil0p25_Broth-3,OxicWtGlcDil0p25_Broth-4,OxicWtGlcDil0p25_Broth-5,OxicWtGlcDil0p25_Broth-6,OxicWtGlcDil0p33_Broth-1,OxicWtGlcDil0p33_Broth-2,OxicWtGlcDil0p33_Broth-3,OxicWtGlcDil0p33_Broth-4,OxicWtGlcDil0p33_Broth-5,OxicWtGlcDil0p33_Broth-6,OxicWtGlcDil0p46_Broth-1,OxicWtGlcDil0p46_Broth-2,OxicWtGlcDil0p46_Broth-3,OxicWtGlcDil0p46_Broth-4,OxicWtGlcDil0p46_Broth-5,OxicWtGlcDil0p46_Broth-6,OxicWtGlcDil0p59_Broth-1,OxicWtGlcDil0p59_Broth-2,OxicWtGlcDil0p59_Broth-3,OxicWtGlcDil0p59_Broth-4,OxicWtGlcDil0p59_Broth-5,OxicWtGlcDil0p59_Broth-6
atp,0.411854684,1.915727266,1.584752871,0.525772495,2.032424018,1.85477157,1.783154995,1.715937928,2.422521779,1.470212108,1.943372467,2.731649504,2.24731945,2.256868664,2.433169398,2.145064098,1.993063613,2.98352777,2.401629222,3.239226859,2.210088051,2.722783774,3.375290175,2.421112833
camp,0.001402824,0.00148419,NA,0.001270827,0.001553029,0.000723858,0.003044247,0.004068096,0.001493573,0.002077829,0.004782917,0.000804145,0.001577048,0.011998331,0.002518125,0.001286975,0.013239656,0.004127743,0.007168243,0.003802309,0.010213998,0.004948867,0.004056049,0.009760881
chor,5.814943804,6.886921424,3.481391384,6.503413864,5.043581559,3.525186689,3.4610006105,7.2796401155,1.6513481525,2.6059652875,4.1704439185,3.5934646785,3.3670371005,12.1161643745,2.9418907325,1.5620902725,8.0621159745,3.4819209065,3.6759333925,3.0598041745,5.1686144925,4.6151163165,2.4711932325,5.2299351245
cit,0.408735411,0.531178335,0.41139979,0.503050053,0.51667054,0.357168142,0.493072099,0.640206213,0.370445641,0.626319297,0.685576631,0.426847606,0.488471128,0.832664552,0.440515224,0.521027563,0.77789507,0.585861871,0.257442071,0.463540237,0.312633316,0.734485976,0.313679181,0.444070576
citr-L,0.024586669,0.032029917,0.026628679,0.02483765,0.032679357,0.033155877,0.037847204,0.035045593,0.031987568,0.040628385,0.043786392,0.030949217,0.041478404,0.02809623,0.037556058,0.040209493,0.030058646,0.033399472,0.025661552,0.033026089,0.031752455,0.022248911,0.021183527,0.026823799
cmp,0.011544803,0.02969944,0.027436309,0.009558839,0.03859456,0.025452418,0.035554184,0.035234708,0.038771768,0.033945768,0.028045838,0.036851161,0.033936835,0.041542514,0.037265403,0.030836551,0.041568609,0.034534616,0.038985818,0.034556707,0.045038872,0.058969105,0.045026372,0.038793237
coa,NA,0.029491126,0.014420053,0.011961887,0.05138535,0.027266464,0.0692729645,0.1169724045,0.1116198055,0.0959237325,0.1155011775,0.1260491905,0.1714065225,0.1620133435,0.1784059575,0.1677621725,0.1527209775,0.1638117125,0.23256756,0.164945865,0.1558422,0.179928795,0.172331682,0.126635982
ctp,0.009742878,0.030430692,0.044011822,0.00959585,0.038852983,0.049288851,0.036997964,0.033739484,0.046727357,0.021028123,0.039527823,0.054459589,0.036360976,0.048495859,0.033856092,0.038605369,0.078646903,0.056095435,0.067526968,0.064929384,0.045650189,0.058100867,0.090227624,0.045466137
dadp,0.003003363,0.007180536,0.007941359,0.003264982,0.005907412,0.010045255,0.007669221,0.00805938,0.009075969,0.007565114,0.007259177,0.013648702,0.008618198,0.010989472,0.011094433,0.011870567,0.008471823,0.009979271,0.050520322,0.011453263,0.01039502,0.011549533,0.017682939,0.00821941
datp,0.007891768,0.032339349,0.022589254,0.008644757,0.018128491,0.021444748,0.017697613,0.018707167,0.031471244,0.018586096,0.017218577,0.028935199,0.026469484,0.028028189,0.022111312,0.02645569,0.023816688,0.028053097,0.027331604,0.038128397,0.031439931,0.033173988,0.038299291,0.025785685
dcdp,0.003092571,0.006983493,0.007501954,0.004143035,0.007129891,0.007714593,0.009228315,0.005848794,0.013321234,0.005837543,0.005619993,0.011018631,0.01244468,0.011582938,0.01036027,0.015026103,0.012448245,0.012772229,0.015649456,0.014156214,NA,0.015170771,0.013631355,0.009217726
dctp,0.004467644,0.008576881,0.011630277,NA,0.015781249,0.011935038,0.009543878,0.00922482,0.012588944,0.006355899,0.008833266,0.016661872,0.01768504,0.014636178,0.014330193,0.015100203,0.023476859,0.018437347,0.02574772,0.025041569,0.01688432,0.020757098,0.035387743,0.014786164
dhap,0.200808525,0.293094142,0.211905699,0.191491713,0.293712874,0.204668949,0.210580901,0.186141674,0.174239658,0.270374643,0.177872757,0.164348734,0.313986225,0.327776715,0.276590127,0.285869545,0.328155883,0.341419972,0.349813872,0.298956824,0.341758818,0.316928955,0.384954713,0.272453378
dtmp,0.002658647,0.008244724,0.011574197,0.002689196,0.008528741,0.009734985,0.013750826,0.011907721,0.01203361,0.014354442,0.011986208,0.013390237,0.0172240275,0.0127096655,0.0150076905,0.0162921055,0.0122553935,0.0177462575,0.0150991235,0.0146380005,0.0159246525,0.0169021335,0.0138307365,0.0185137765
dttp,0.00755676,0.028415636,0.01714639,0.011107951,0.015374627,0.01927364,0.025411291,0.026470213,0.032805449,0.021811495,0.023915816,0.035925851,0.026863775,0.034090375,0.025183572,0.029268268,0.022710755,0.036111635,0.029620062,0.042479017,0.023677487,0.035050471,0.037578209,0.024476772
dump,0.000492899,0.001096142,0.000983582,0.000680611,0.001136623,0.000742136,0.001123566,0.001169542,0.001856499,0.000994672,0.001261761,0.000756878,0.001705748,0.002933489,0.002293364,0.002300599,0.002542759,0.001703429,0.002257539,0.002127727,0.001822147,0.001821912,0.0017752,0.003045862
f6p,0.406002745,0.426217846,0.514858773,0.373024262,0.505472741,0.476636495,0.4875510785,0.5280090835,0.3775103375,0.5589427275,0.5158759225,0.5271909615,0.518565179,0.44406147,0.650695974,0.536796069,0.516212805,0.696363174,0.6656547055,0.4676967745,0.3977076695,0.4570491745,0.6362588295,0.4588329465
fad,0.008063614,0.014743128,0.014461091,0.007351896,0.010425014,0.009938784,0.016257339,0.011706576,0.012830948,0.009312699,0.029259808,0.014379927,0.01128597,0.024101735,0.022631685,0.012177216,0.019032399,0.031814879,0.019895438,0.021960018,0.017883397,0.013609122,0.023552602,0.017023306
fdp,0.051489738,0.082501024,0.102015839,0.070047891,0.088220561,0.106745779,0.217390669,0.152607197,0.452407358,0.16921686,0.156075075,0.418920138,0.488167085,0.296206539,0.406771979,0.37814279,0.309129658,0.548801606,0.731935725,0.797700334,0.258929762,0.765975267,0.568227203,0.302573713
fum,0.689967015,0.935925786,0.646821097,0.748794213,0.824743254,0.729253291,0.548844036,0.42401013,0.360379632,0.365374542,0.430441331,0.352889702,0.478296259,0.434496816,0.467230218,0.45130724,0.465658788,0.401078998,0.402568425,0.336037483,0.400758251,0.374436709,0.3477061,0.41614335
g1p,0.0680204,0.076457508,0.045195954,0.065838238,0.054272244,0.045367035,0.028578385,0.066386159,0.034045101,0.04006899,0.04716274,0.041848548,0.043448087,0.099366074,0.048063631,0.039386857,0.086992007,0.051626467,0.0733612535,0.0572267275,0.0728045235,0.0813220395,0.0600784335,0.0719904075
g6p,0.626046775,0.429772681,0.516445476,0.466171629,0.478268586,0.51435981,0.451365434,0.42839741,0.432986675,0.354584305,0.608586021,0.395511041,0.618257858,0.449887944,0.530117273,0.613977658,0.317067548,0.708913722,0.508384133,0.620946393,0.67152972,0.684371234,0.725149175,0.54627746
gam6p,0.067341379,0.078601669,0.075128903,0.066181254,0.084032798,0.076053456,0.083190626,0.077496112,0.092619175,0.071629942,0.097684179,0.099520614,0.118586699,0.123781934,0.115219761,0.109333447,0.120200019,0.100325885,0.109210817,0.077590819,0.079194107,0.081038175,0.108029065,0.094112496
gdp,0.01095705,0.02508877,0.0393828,0.012112805,0.025379382,0.046528408,0.016569036,0.02374653,0.03636911,0.023203248,0.030676993,0.035387617,0.031705533,0.043208327,0.049537768,0.033879012,0.03678508,0.038259089,0.054639703,0.06666969,0.039292758,0.048596772,0.068666935,0.029116314
