,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area,130906,130609,130521,130618,130906-area
Component_Name,slope,slope,slope,slope,slope,intercept,intercept,intercept,intercept,intercept,correlation,correlation,correlation,correlation,correlation,lloq,lloq,lloq,lloq,lloq,uloq,uloq,uloq,uloq,uloq,points,points,points,points,points
succ.succ_2.Light,0.471050121155656,0,0,0,0.526187918921072,0.0622692298548225,0,0,0,0.0253501536547961,0.998086144649056,0,0,0,0.995932997625449,0.1,0,0,0,0.1,2.0,0,0,0,2.0,5,0,0,0,5
amp.amp_2.Light,1.7936784544495,0,0,0,1.73441279699652,-0.0311945898164321,0,0,0,-0.0546829613388419,0.999019050970848,0,0,0,0.999305580688604,0.04,0,0,0,0.04,2.0,0,0,0,2.0,6,0,0,0,6
cmp.cmp_2.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actp.actp_2.Light,0.217556848478007,0,0,0,0.110973151146193,-0.0500427840478631,0,0,0,0.102152606600487,0.999973680462767,0,0,0,0.999391549517403,1.0,0,0,0,2.0,20.0,0,0,0,20.0,4,0,0,0,3
akg.akg_1.Light,13.6264577569594,13.5695820756999,13.4091557489948,14.6368355403256,12.945775693206,0.101657688869978,1.69953525860592,3.402527007332,6.4160006939568,0.475513539613717,0.999742953557714,0.99897554505605,0.998302172788599,0.996419987250439,0.990422645060203,0.02,0.04,0.08,0.2,0.02,2.0,4.0,4.0,4.0,2.0,4,7,6,5,4
dtmp.dtmp_2.Light,16.6735378384579,0,0,0,17.0054833808903,0.0745816921599727,0,0,0,0.044578203568853,0.996957536234715,0,0,0,0.996152765180257,0.004,0,0,0,0.004,0.8,0,0,0,0.8,8,0,0,0,8
met-L.met-L_1.Light,1.92125534359349,2.01428717846767,2.04011726907948,1.67782342048855,1.94846126489658,-0.000333212279965158,-0.0190715050655788,-0.000139634526720214,-0.164776468829031,-0.00222759880233236,0.999592625013577,0.999955737657188,0.999652377412494,0.998936716859442,0.999953371148089,0.002,0.04,0.04,0.04,0.002,2.0,4.0,2.0,40.0,4.0,10,7,6,10,11
fum.fum_1.Light,1.01705328185727,0.561098844614262,0.579186428422802,0.620727485268609,1.52044494835465,0.0520608271262964,0.0190482327393961,0.0432163819165505,-0.0286334127419515,0.0380946919576982,0.998124956198812,0.999035415148003,0.99958950748571,0.999848874174013,0.999311900557717,0.05,0.1,0.05,0.1,0.05,2.0,10.0,10.0,20.0,5.0,6,7,8,7,7
mal-L.mal-L_1.Light,92.9617554709832,0.781139236882985,0.81028295633125,0.569693345365077,116.685759038229,3.51119052397373,-0.0117705617134721,0.022592093483309,0.0570926080083526,8.13988200637656,0.903722300090548,0.981636423922907,0.99591593923113,0.999076693654658,0.951132042182398,0.01,0.04,0.04,0.04,0.01,1.0,1.0,0.4,4.0,1.0,7,5,4,6,7
dimp.dimp_2.Light,25.1827102535077,0,0,0,46.6271875055544,-0.619840778140017,0,0,0,-2.26807114460373,0.998688969855581,0,0,0,0.990888569526798,0.02,0,0,0,0.02,2.0,0,0,0,2.0,7,0,0,0,7
utp.utp_2.Light,9.16028206080805,0,0,0,12.6755212145149,0.710909227256435,0,0,0,0.610515158531729,0.982853255210529,0,0,0,0.986521377246021,0.16,0,0,0,0.16,1.6,0,0,0,1.6,4,0,0,0,4
gthox.gthox_1.Light,0.353631394414801,0.962838370880509,0.739051835454348,0.215606136168633,0.474816020625904,-9.78792867714257e-05,-0.0172841302549252,-0.038678249062297,0.00119908460587276,-0.0166879317981661,0.997076305380697,0.998662940773466,0.979893279201199,0.998977722055947,0.999707541154897,0.005,0.02,0.02,0.02,0.005,5.0,10.0,2.0,2.0,10.0,9,9,7,7,10
AICAr.AICAr_1.Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adpglc.adpglc_1.Light,0,232.773085978147,238.855124710437,235.069894134544,0,0,0.0279345426880138,0.0770929148072543,0.267576306871407,0,0,0.996072980853733,0.999439557457737,0.999776738280758,0,0,0.001,0.002,0.002,0,0,1.0,0.04,2.0,0,0,10,5,9,0
