,OxicRph-pyrE82_Broth-2,OxicRph-pyrE82_Broth-3,OxicRph-pyrE82_Broth-5,OxicRph-pyrE82_Broth-6,OxicRpoBE546V_Broth-1,OxicRpoBE546V_Broth-2,OxicRpoBE546V_Broth-3,OxicRpoBE546V_Broth-4,OxicRpoBE546V_Broth-5,OxicRpoBE546V_Broth-6,OxicRpoBE672K-rph-pyrE82_Broth-1,OxicRpoBE672K-rph-pyrE82_Broth-3,OxicRpoBE672K-rph-pyrE82_Broth-4,OxicRpoBE672K-rph-pyrE82_Broth-6,OxicRpoBE672K_Broth-1,OxicRpoBE672K_Broth-2,OxicRpoBE672K_Broth-3,OxicRpoBE672K_Broth-4,OxicRpoBE672K_Broth-5,OxicRpoBE672K_Broth-6,OxicWtGlc_Broth-1,OxicWtGlc_Broth-2,OxicWtGlc_Broth-3,OxicWtGlc_Broth-4,OxicWtGlc_Broth-5,OxicWtGlc_Broth-6
asn-L,0.162660842,0.220211994000004,0.169778436000001,0.303117444000004,0.183492755499998,0.235862938499997,0.184119963499997,0.237407629500005,0.257976768499994,0.195514414499998,0.212464366999997,0.193822028999998,0.087146826999999,0.229322644000005,0.245765865000004,0.237000074999998,0.256852562000004,0.222885243999997,0.182179520999997,0.173336971999997,0.205724651999995,0.236338913999994,0.221748687000001,0.177257888000004,0.124873010000002,0.193356711000005
atp,3.15395007089,2.70886858781995,2.83596731525996,2.72008522047005,1.68640742288999,1.53935206206,1.43464844465,1.52691269616002,1.65591604907997,1.26173787265998,1.50210035870002,0.796138496230008,1.74104547280996,0.843639980083017,1.06063846572,1.03824464724002,1.10267817064002,1.03486096222002,1.01532347395002,0.93985143007899,1.19756141005998,1.47626609753001,0.750719694210004,1.41034429032999,1.40443417986998,0.713528036393996
camp,0.00248990799999999,0.00621036899999994,0.00190164600000004,0.00627300299999984,0.0103141729999999,0.0101203699999999,0.00686512199999997,0.00920720499999993,0.0118237879999998,0.005607508,0.00320797500000002,0.00523410500000009,0.00243061400000006,0.00781535299999986,0.00655169499999995,0.00673126800000004,0.00718514199999998,0.00533698200000013,0.00608283199999994,0.00829132900000019,0.0048185705,0.00475137550000001,0.00527066749999994,0.00539860350000001,0.00633433950000012,0.00714505849999993
chor,3.54675011300004,5.79753921399996,3.05108727100003,7.96051635000003,4.89246479850006,7.01225516049999,2.21676107849999,4.29779659350004,6.88427661849989,1.24820544249998,1.78710592700003,1.44958921100002,1.96226372599996,1.053247532,2.53438512250004,2.34444490450004,4.25283989550005,2.00705271550004,1.81041649949998,3.32401708750002,4.555023372,2.30632589299997,1.11414267400002,4.60343211500003,2.885362761,1.94227598099998
cit,1.46611116999998,1.46079332299998,1.29178527399997,0.299426306999999,0.646234452000002,0.472863664999992,0.542982959000015,0.591551865000002,0.550500105000009,0.660033915999986,0.376092427999996,0.385177301999993,0.321832283999999,0.656311714000015,0.301310836499999,0.346687080499996,0.308900122500005,0.229709550499997,0.301609129499999,0.456303431499991,0.0658246269999991,0.0880882139999996,0.140027140000001,0.0793918260000001,0.0709866799999994,0.175405522999997
citr-L,0.0341161220000003,0.0297822230000006,0.037041374,0.0266159220000004,0.0273443069999999,0.0218414819999996,0.0260595260000001,0.0178393529999997,0.0302633079999994,0.021395279,0.0174859440000003,0.0260386279999995,0.0351764060000004,0.0317104010000007,0.0193381610000002,0.0252501440000002,0.021104575,0.0262383970000002,0.0259110820000003,0.0218544350000003,0.0122980145000001,0.0213588804999996,0.0209591754999998,0.0167742064999996,0.0248530114999996,0.0221699754999999
cmp,0.0524006979999996,0.0455796480000003,0.0438981750000004,0.0537222250000008,0.0289623729999996,0.0295281470000004,0.0353176950000002,0.0175860760000003,0.0296553290000004,0.0281456760000004,0.0266475889999997,0.0322951079999996,0.0268239930000005,0.0363113109999994,0.0243448290000003,0.0280150829999997,0.0221918919999998,0.0160689660000003,0.0286978679999993,0.0384248020000008,0.0311858970000003,0.0334715480000006,0.0327822719999994,0.0301742500000008,0.036739471,0.0245207319999994
coa,0.226037343000001,0.166477595000003,0.239444501999998,0.181854673000002,0.251915806,0.232845655999997,0.200095997000003,0.309893428000005,0.233894408999995,0.223753364000002,0.187989539,0.252642615000006,0.215013618,0.257439932000004,0.179990819500003,0.277116590499993,0.215541294500005,0.185356900500002,0.226260086499997,0.198052806499996,0.163141410999999,0.186070645000001,0.176030297000001,0.161948246,0.179195897999999,0.179882316999996
ctp,0.0624336810000012,0.0824746490000007,0.0610345429999995,0.0930667439999989,0.0507269080000009,0.0457050770000005,0.0620492449999989,0.0382660459999998,0.0421675199999996,0.0695890650000011,0.0462930090000006,0.0851728800000014,0.0572002589999988,0.0759906620000001,0.0542495890000008,0.0740971860000016,0.049259204999999,0.0543379189999997,0.0627033210000006,0.0546083229999986,0.0609290319999989,0.0903728709999996,0.0421826489999998,0.0517485869999992,0.0956759510000004,0.037824738
cytd,0.0002645166751312,0.000283523861368173,0.0002645166751312,0.000283523861368173,0.00251457199999997,0.00189514699999998,0.00124460400000002,0.00206661799999998,0.00136198400000002,0.00193346399999998,0.000676374999999992,0.001495513,0.000646785000000004,0.000953494999999993,0.000826655999999988,0.000798698999999991,0.00169757200000003,0.00177800699999998,0.00110417500000002,0.00481213100000007,0.00124380844634618,0.000557920657187839,0.00192316699999996,0.00108819295291052,0.000746725523770012,0.001880141
dadp,0.010260751,0.0150379269999999,0.0127737440000003,0.0150172239999997,0.0256751649999999,0.0318922489999993,0.0111287559999999,0.0196740350000001,0.0253469650000004,0.0103565579999998,0.0113465510000002,0.0140335,0.012455847,0.0136656330000001,0.0152757529999996,0.01594798,0.0112538279999998,0.0200875679999999,0.0167234900000003,0.0128038369999999,0.00971513200000014,0.00828612300000018,0.0195804730000001,0.00896487600000013,0.00993016500000009,0.0201772949999999
