% header=SampleName	SampleID	Comments	AcqMethod	ProcMethod	RackCode	PlateCode	VialPos	SmplInjVol	DilutFact	WghtToVol	Type	RackPos	PlatePos	SetName	OutputFile
141104_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Filtrate-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141008_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Broth-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	20	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141008_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Broth-5-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	21	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141013_11_OxicEvo04pgiEvo06EPEcoli13CGlcM9_Broth-6-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	22	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo07EPEcoli13CGlcM9_Filtrate-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141008_11_OxicEvo04pgiEvo07EPEcoli13CGlcM9_Broth-1-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	24	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141013_11_OxicEvo04pgiEvo07EPEcoli13CGlcM9_Broth-2-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	25	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141013_11_OxicEvo04pgiEvo07EPEcoli13CGlcM9_Broth-3-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	26	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141104_11_OxicEvo04pgiEvo07EPEcoli13CGlcM9_Filtrate-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	54	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
141008_11_OxicEvo04pgiEvo07EPEcoli13CGlcM9_Broth-4-1000.0x			140719_McCloskey2013_13CFlux	none	CStk1-03	VT54	28	10	1	0	Unknown	3	1	141104_ALEsKOs01	14110402\141104_ALEsKOs01
