id,experiment_id,sample_name,sample_id,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_,comment_
16698,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,nadh,nadh.nadh_1.Light,0.005811869,mM,t,
16699,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,nadp,nadp.nadp_1.Light,0.113826661,mM,t,
16700,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,nadph,nadph.nadph_1.Light,0.001665001,mM,t,
16702,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,oxa,oxa.oxa_1.Light,1.302418364,mM,t,
16703,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,phe-L,phe-L.phe-L_1.Light,0.043660321,mM,t,
16704,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,Pool_2pg_3pg,Pool_2pg_3pg.Pool_2pg_3pg_2.Light,0.607932417,mM,t,
16706,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,ru5p-D,ru5p-D.ru5p-D_1.Light,0.020531375,mM,t,
16707,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,s7p,s7p.s7p_1.Light,0.062965912,mM,t,
16708,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,ser-L,ser-L.ser-L_1.Light,0.298508135,mM,t,
16709,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,succ,succ.succ_1.Light,0.466636714,mM,t,
16710,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,thr-L,thr-L.thr-L_1.Light,0.322267433,mM,t,
16711,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,thym,thym.thym_1.Light,0.005382018,mM,t,
16712,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,trp-L,trp-L.trp-L_1.Light,0.007345128,mM,t,
16713,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,tyr-L,tyr-L.tyr-L_1.Light,0.029888364,mM,t,
16714,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,udp,udp.udp_1.Light,0.058748295,mM,t,
16715,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,ump,ump.ump_1.Light,0.02237946,mM,t,
16716,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,ura,ura.ura_1.Light,0.005765585,mM,t,
16717,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1,131206_0_OxicEvo03EcoliGlcM9_Broth-1,uri,uri.uri_1.Light,0.004972042,mM,t,
16719,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,acon-C,acon-C.acon-C_1.Light,0.173396259,mM,t,
16720,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,atp,atp.atp_1.Light,4.097510068,mM,t,
16721,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,cmp,cmp.cmp_1.Light,0.034552677,mM,t,
16722,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,f6p,f6p.f6p_1.Light,0.081853707,mM,t,
16723,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,g6p,g6p.g6p_2.Light,0.607884465,mM,t,
16724,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,glu-L,glu-L.glu-L_1.Light,8.90587521,mM,t,
16726,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,glyclt,glyclt.glyclt_1.Light,0.668033723,mM,t,
16727,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,gthox,gthox.gthox_1.Light,0.213188533,mM,t,
16728,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,mal-L,mal-L.mal-L_1.Light,0.582140048,mM,t,
16729,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,nad,nad.nad_1.Light,0.393290117,mM,t,
16730,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,pep,pep.pep_1.Light,0.062794134,mM,t,
16731,ALEWt01,131206_0_OxicEvo03EcoliGlcM9_Broth-1-10x,131206_0_OxicEvo03EcoliGlcM9_Broth-1,phpyr,phpyr.phpyr_1.Light,0.101407986,mM,t,
