experiment_id,model_id,sample_name_abbreviation,time_point,rxn_id,dG_r_units,dG_r_lb_base,dG_r_ub_base,dG_r_lb,dG_r_ub,displacement_lb_base,displacement_lb,displacement_ub_base,displacement_ub,feasible_base,feasible
ALEWt01,iJO1366,OxicEvo03Glc,0,GF6PTA,kJ/mol,-10.5802865,-9.996624531,-8.685638862,-7.538031286,0.01652083,0.034445692,0.020717351,0.053755007,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,ACtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,GTHOr,kJ/mol,-14.95033387,-12.78347983,-10.97626491,-9.595677603,0.003033986,0.01416902,0.007030116,0.024202658,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,GMPS2,kJ/mol,-171.6858929,-171.5767383,-170.2994571,-169.7561069,1.74E-32,2.99E-32,8.81E-27,1.78E-26,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,D_DASH_LACtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,FE2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,UMPK,kJ/mol,8.808717619,9.25275351,10.25296728,11.09105785,30.45050001,53.31383312,36.17266246,73.78940308,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo04Glc,0,FE3tex,kJ/mol,-10371.89629,-10371.89629,-10371.89629,-10371.89629,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,THD2pp,kJ/mol,-6195.325453,-6194.423777,-6195.907116,-6195.819675,2.281569383,1.820824095,3.236659736,1.883627694,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,GTHPi,kJ/mol,-253.7942305,-251.1161645,-255.8701796,-254.0094571,9.38E-35,4.19E-35,2.65E-34,8.63E-35,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,DHFS,kJ/mol,357.5904377,358.2548742,358.5329631,358.8230682,3.64E+41,4.53E+41,4.35E+41,6.28E+41,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo04Glc,0,H2tpp,kJ/mol,5.93455963,5.93455963,5.93455963,5.93455963,9.988928024,9.988928024,9.988928024,9.988928024,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,G5SD,kJ/mol,-40.26737388,-39.75616188,-39.15552075,-38.67538556,1.65E-07,2.54E-07,2.01E-07,3.06E-07,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PDH,kJ/mol,-44.96742521,-44.57025221,-47.93060467,-47.09571743,2.67E-08,8.46E-09,3.11E-08,1.17E-08,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,SO4tex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo04Glc,0,MG2tex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,ACCOAL,kJ/mol,14.41042476,14.74390366,15.3598076,16.5712689,267.3333584,386.3238038,304.2417532,618.0020776,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,MNtex,kJ/mol,-6914.597525,-6914.597525,-6914.597525,-6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PItex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,FALSE,FALSE
ALEWt01,iJO1366,OxicEvo04Glc,0,FORtex,kJ/mol,3457.298763,3457.298763,3457.298763,3457.298763,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,FBP,kJ/mol,-40.17468292,-39.90342221,-39.69949312,-39.33572873,1.71E-07,2.06E-07,1.90E-07,2.37E-07,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,SUCCtex,kJ/mol,6914.597525,6914.597525,6914.597525,6914.597525,1,1,1,1,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,SADT2,kJ/mol,-4.109283317,-3.458515696,-2.452117858,-1.288327071,0.203189103,0.386372227,0.261520011,0.606758036,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PGM,kJ/mol,-4.129953475,-4.129953475,-4.129953475,-4.129953475,0.201566833,0.201566833,0.201566833,0.201566833,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,PHETA1,kJ/mol,16.24614793,16.87970767,15.21664394,15.24088565,544.7935348,365.4595823,696.52747,368.9115263,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,RPI,kJ/mol,-0.068006505,0.04569869,0.539819489,0.5792378,0.973971191,1.232872739,1.017880349,1.25186419,TRUE,TRUE
ALEWt01,iJO1366,OxicEvo04Glc,0,GK1,kJ/mol,8.057370864,8.113223615,8.779655754,9.917596501,22.7535954,30.10923555,23.25181951,46.81182924,FALSE,FALSE
