sample_name_abbreviation,time_point,met_id,fragment_formula,C_pos,scan_type,theoretical,,,,,,,,,,,,,,measured,,,,,,,,,,,,,,measured_cv,,,,,,,,,,,,,,abs_difference,,,,,,,,,,,,,
,,,,,,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13
OxicWtGlc,0,fdp,C4H7O4-,"[False, True, True, True, True, False]",EPI,1,0.046,0.009,0,0,,,,,,,,,,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,g1p,C6H12O9P-,"[True, True, True, True, True, True]",EPI,1,0.07,0.021,0.001,0,0,0,,,,,,,,1,0.088,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,-0.018,0.021,0.001,0,0,0,,,,,,,
OxicWtGlc,0,g1p,C6H10O8P-,"[True, True, True, True, True, True]",EPI,1,0.069,0.018,0.001,0,0,0,,,,,,,,1,0.088,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,g1p,C2H4O5P-,"[True, True, False, False, False, False]",EPI,1,0.024,0.01,,,,,,,,,,,,1,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,g6p,C6H12O9P-,"[True, True, True, True, True, True]",EPI,1,0.07,0.021,0.001,0,0,0,,,,,,,,1,0.073,0,0,0,0,0,,,,,,,,0,3.853,0,0,0,0,0,,,,,,,,0,-0.003,0.021,0.001,0,0,0,,,,,,,
OxicWtGlc,0,g6p,C4H8O7P-,"[False, False, True, True, True, True]",EPI,1,0.047,0.015,0.001,0,,,,,,,,,,1,0.073,0,0,0,,,,,,,,,,0,3.853,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,g6p,C3H6O6P-,"[False, False, False, True, True, True]",EPI,1,0.035,0.013,0,,,,,,,,,,,1,1,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,g6p,C2H4O5P-,"[False, False, False, False, True, True]",EPI,1,0.024,0.01,,,,,,,,,,,,1,0.069,0.091,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
OxicWtGlc,0,glu-L,C5H8NO4-,"[True, True, True, True, True]",EPI,1,0.06,0.01,0.001,0,0,,,,,,,,,1,0.099,0.009,0,0,0,,,,,,,,,0,19.714,4.735,0,0,0,,,,,,,,,0,-0.038,0.001,0.001,0,0,,,,,,,,
OxicWtGlc,0,glu-L,C5H6NO3-,"[True, True, True, True, True]",EPI,1,0.06,0.008,0,0,0,,,,,,,,,1,0.095,0.012,0.005,0,0.004,,,,,,,,,0,15.83,38.243,67.595,0,0,,,,,,,,,,,,,,,,,,,,,,
