mapping_id,rxn_id,rxn_description,used_,reactants_elements_tracked,products_elements_tracked,comments_,reactants_trackedids,reactants_mapping,products_trackedids,products_mapping
central02,CO2tex_reverse,,TRUE,C,C,individual,1*co2_p,a,1*co2_e,a
central02,CO2tpp_reverse,,TRUE,C,C,individual,1*co2_c,a,1*co2_p,a
central02,COASYN,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",TRUE,C,C,combo,1*3mob_c+1*mlthf_c+1*asp_DASH_L_c+1*cys_DASH_L_c,abcde+f+ghij+klm,1*co2_c+1*co2_c,g+k
central02,COASYN_Full,"[ASP1DC,MOHMT,DPR,PANTS,PNTK,PPNCL2,PPCDC,PTPATi,DPCOAK]",FALSE,C,C,combo,1*3mob_c+1*mlthf_c+1*asp_DASH_L_c+1*cys_DASH_L_c+1*atp_c,abcde+f+ghij+klm+123456789n,1*coa_c+1*co2_c+1*co2_c,123456789nfedcbajihlm+g+k
central02,ADSL1r,,TRUE,C,C,added imp_to_amp,1*dcamp_c,abcdefghijklmn,1*amp_c+0.5*fum_c+0.5*fum_c,abcdefghij+klmn+nmlk
central02,ADSS,,TRUE,C,C,added imp_to_amp,1*imp_c+1*asp_DASH_L_c,abcdefghij+klmn,1*dcamp_c,abcdefghijklmn
central02,imp_to_amp,"[ADSS,ADSL1r]",TRUE,C,C,combo,1*imp_c+1*asp_DASH_L_c,abcdefghij+klmn,1*amp_c+0.5*fum_c+0.5*fum_c,abcdefghij+klmn+nmlk
central02,imp_to_amp_Full,"[ADSS,ADSL1r]",FALSE,C,C,combo,1*imp_c+1*asp_DASH_L_c,abcdefghij+klmn,1*amp_c+0.5*fum_c+0.5*fum_c,abcdefghij+klmn+nmlk
central02,imp_to_gmp,"[IMPD,GMPS2]",TRUE,C,C,combo,1*imp_c,abcdefghij,1*gmp_c,abcdefghij
central02,imp_to_gmp_Full,"[IMPD,GMPS2]",FALSE,C,C,combo,1*imp_c,abcdefghij,1*gmp_c,abcdefghij
central02,chor_and_prpp_to_3ig3p,"[ANS,ANPRT,PRAIi,IGPS]",TRUE,C,C,combo,1*chor_c+1*gln_DASH_L_c+1*prpp_c,abcdefghij+klmno+pqrst,1*3ig3p_c+1*co2_c+1*glu_DASH_L_c+1*pyr_c,tsrqbgfedcp+a+klmno+ihj
central02,ptrc_to_4abut_1,"[PTRCTA,ABUTD]",TRUE,C,C,combo,1*akg_c+0.5*ptrc_c+0.5*ptrc_c,abcde+fghi+ihgf,1*4abut_c+1*glu_DASH_L_c,fghi+abcde
central02,ptrc_to_4abut_2,"[GGPTRCS,GGPTRCO,GGGABADr,GGGABAH]",TRUE,C,C,combo added ptrc_to_4abut_2,0.5*ptrc_c+0.5*ptrc_c,abcd+dcba,1*4abut_c,abcd
central02,CYSTL,,TRUE,C,C,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1*cyst_DASH_L_c,abcdefg,1*pyr_c+1*hcys_DASH_L_c+1*nh4_c,abcd+gfe
central02,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L_coa,"[HSST,SHSL1,CYSTL]",FALSE,C,C,combo,1*cys_DASH_L_c+1*hom_DASH_L_c+1*succoa_c,bcd+efgh+ABCDEFGHIJKLMNOPQRSTUijkl,1*coa_c+1*hcys_DASH_L_c+1*pyr_c+0.5*succ_c+0.5*succ_c,ABCDEFGHIJKLMNOPQRSTU+efgh+bcd+ijkl+lkji
central02,hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,"[HSST,SHSL1,CYSTL]",TRUE,C,C,combo,1*cys_DASH_L_c+1*hom_DASH_L_c+1*succoa_c,bcd+efgh+ijkl,1*hcys_DASH_L_c+1*pyr_c+0.5*succ_c+0.5*succ_c,efgh+bcd+ijkl+lkji
central02,HSST_coa,,FALSE,C,C,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1*succoa_c+1*hom_DASH_L_c,ABCDEFGHIJKLMNOPQRSTUabcd+efgh,1*coa_c+1*suchms_c,ABCDEFGHIJKLMNOPQRSTU+efghabcd
central02,HSST,,TRUE,C,C,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1*succoa_c+1*hom_DASH_L_c,abcd+efgh,1*suchms_c,efghabcd
central02,METS,,TRUE,C,C,individual,1*hcys_DASH_L_c+1*5mthf_c,abcd+e,1*met_DASH_L_c,abcde
central02,SHSL1,,TRUE,C,C,added hom_DASH_L_and_cyst_DASH_L_to_met_DASH_L,1*suchms_c+1*cys_DASH_L_c,abcdefg+ijk,0.5*succ_c+0.5*succ_c+1*cyst_DASH_L_c,efgh+hgfe+abcdkji
central02,e4p_and_pep_to_3dhq,"[DDPA,DHQS]",TRUE,C,C,combo,1*e4p_c+1*pep_c,abcd+efg,1*3dhq_c,efdcbag
central02,aspsa_to_sl2a6o_coa,"[DHDPS,DHDPRy,THDPS]",FALSE,C,C,combo,1*aspsa_c+1*pyr_c+1*succoa_c,abcd+efg+ABCDEFGHIJKLMNOPQRSTUhijk,1*coa_c+1*sl2a6o_c,ABCDEFGHIJKLMNOPQRSTU+abcdgfehijk
central02,aspsa_to_sl2a6o,"[DHDPS,DHDPRy,THDPS]",TRUE,C,C,combo,1*aspsa_c+1*pyr_c+1*succoa_c,abcd+efg+hijk,1*sl2a6o_c,abcdgfehijk
central02,glu_DASH_L_to_acg5p,"[ACGS,ACGK]",TRUE,C,C,combo,1*accoa_c+1*glu_DASH_L_c,ab+cdefg,1*acg5p_c,cdefgab
central02,glu_DASH_L_to_acg5p_coa,"[ACGS,ACGK]",FALSE,C,C,combo,1*accoa_c+1*glu_DASH_L_c,ABCDEFGHIJKLMNOPQRSTUab+cdefg,1*acg5p_c+1*coa_c,cdefgab+ABCDEFGHIJKLMNOPQRSTU
central02,glu_DASH_L_to_glu5sa,"[GLU5K,G5SD]",TRUE,C,C,combo,1*glu_DASH_L_c,abcde,1*glu5sa_c,abcde
central02,g1p_to_glycogen,"[GLGC,GLCS1]",TRUE,C,C,combo,1*g1p_c,abcdef,1*glycogen_c,abcdef
central02,thr_DASH_L_to_gly_coa,"[THRD,GLYAT]",FALSE,C,C,combo,1*coa_c+1*thr_DASH_L_c,ABCDEFGHIJKLMNOPQRSTU+abcd,1*accoa_c+1*gly_c,ABCDEFGHIJKLMNOPQRSTUcd+ab
central02,thr_DASH_L_to_gly,"[THRD,GLYAT]",TRUE,C,C,combo,1*thr_DASH_L_c,abcd,1*accoa_c+1*gly_c,cd+ab
central02,dhap_to_lac_DASH_D,"[MGSA,LGTHL,GLYOX]",TRUE,C,C,combo,1*dhap_c,abc,1*lac_DASH_D_c,cba
central02,2obut_and_pyr_to_3mop,"[ACHBS,KARA2,DHAD2]",TRUE,C,C,combo,1*2obut_c+1*pyr_c,abcd+efg,1*3mop_c+1*co2_c,abfcdg+e
central02,hom_DASH_L_to_thr_DASH_L,"[HSK,THRS]",TRUE,C,C,combo,1*hom_DASH_L_c,abcd,1*thr_DASH_L_c,abcd
central02,3pg_to_ser_DASH_L,"[PGCD,PSERT,PSP_L]",TRUE,C,C,combo,1*3pg_c+1*glu_DASH_L_c,abc+defgh,1*akg_c+1*ser_DASH_L_c,defgh+abc
central02,pyr_to_23dhmb,"[ACLS,KARA1]",TRUE,C,C,combo,1*pyr_c+1*pyr_c,abc+def,1*23dhmb_c+1*co2_c,debcf+a
central02,5MTRtex_reverse,,TRUE,C,C,individual,1*5mtr_p,abcdef,1*5mtr_e,abcdef
central02,5MTRtpp,,TRUE,C,C,individual,1*5mtr_c,abcdef,1*5mtr_p,abcdef
central02,ADMDC_ametNEG,,FALSE,C,C,added met_DASH_L_and_ptrc_to_spmd_and_5mta,,,,
central02,ADMDC,,TRUE,C,C,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1*amet_c,123456789Aabcde,1*ametam_c+1*co2_c,123456789Abcde+a
central02,EX_5mtr_LPAREN_e_RPAREN_,,TRUE,C,C,individual,1*5mtr_e,abcdef,,
central02,met_DASH_L_and_ptrc_to_spmd_and_5mta,"[METAT,ADMDC,SPMS]",TRUE,C,C,combo,1*met_DASH_L_c+1*atp_c+0.5*ptrc_c+0.5*ptrc_c,abcde+fghij12345+klmn+nmlk,1*co2_c+1*5mta_c+1*spmd_c+1*ade_c,a+fghije+klmndcb+12345
central02,METAT_ametNEG,,FALSE,C,C,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1*met_DASH_L_c,abcde,,
central02,METAT,,TRUE,C,C,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1*met_DASH_L_c+1*atp_c,abcde+123456789A,1*amet_c,123456789Aabcde
central02,MTAN,,TRUE,C,C,individual,1*5mta_c,123456789Aa,1*ade_c+1*5mtr_c,6789A+12345a
central02,SPMS,,TRUE,C,C,added met_DASH_L_and_ptrc_to_spmd_and_5mta,1*ametam_c+0.5*ptrc_c+0.5*ptrc_c,123456789Aabcd+efgh+hgfe,1*spmd_c+1*5mta_c,efghabc+123456789Ad
central02,CS_coa,,FALSE,C,C,individual,1*accoa_c+1*oaa_c,ABCDEFGHIJKLMNOPQRSTUab+cdef,1*cit_c+1*coa_c,fedbac+ABCDEFGHIJKLMNOPQRSTU
central02,CS,,TRUE,C,C,individual,1*accoa_c+1*oaa_c,ab+cdef,1*cit_c,fedbac
central02,CTPS2,,TRUE,C,C,modified CTPSYN,1*gln_DASH_L_c,abcde,1*glu_DASH_L_c,abcde
central02,CTPS2_Full,,FALSE,C,C,modified CTPSYN,1*gln_DASH_L_c+1*utp_c,abcde+fghijklmn,1*glu_DASH_L_c+1*ctp_c,abcde+fghijklmn
central02,CYSDS,,TRUE,C,C,individual,1*cys_DASH_L_c,abc,1*pyr_c,abc
central02,CYSS,,TRUE,C,C,individual,1*acser_c,abcde,1*ac_c+1*cys_DASH_L_c,de+abc
central02,CYTK1,,TRUE,C,C,modified,,,,
central02,CYTK1_Full,,FALSE,C,C,modified,1*atp_c+1*cmp_c,abcdefghij+klmnopqrs,1*adp_c+1*cdp_c,abcdefghij+klmnopqrs
central02,DAPDC,,TRUE,C,C,individual,0.5*26dap_DASH_M_c+0.5*26dap_DASH_M_c,abcdefg+gfedcba,1*co2_c+1*lys_DASH_L_c,g+abcdef
