rxn_id_old,rxn_id,rxn_description,include,notes,ctrack,mapping
UMPSYN1,ORPT,,TRUE,added UMPSYN_aerobic,1 xorot_c 1 xprpp_c > 1 xorot5p_c,#abcde #fghij >fghijabcde
UMPSYN1,OMPDC,,TRUE,added UMPSYN_aerobic,1 xorot5p_c > 1 xump_c 1 xco2_c ,#abcdefghij > #abcdefghi #j
UMPSYN2,UMPSYN_anaerobic,"[ASPCT,DHORTS,DHORD5,ORPT,OMPDC]",TRUE,combo,1 xcbp_c 1 xprpp_c 1 xasp_DASH_L_c > 1 xump_c 1 xco2_c   ,#a #bcdef #ghij > #bcdefahij #g
UMPSYN2,ASPCT,,TRUE,added UMPSYN_anaerobic,1 xcbp_c 1 xasp_DASH_L_c > 1 xcbasp_c,#a #bcde > #cdeab
UMPSYN2,DHORTS,,TRUE,added UMPSYN_anaerobic,1 xcbasp_c > 1 xdhorS_c,#abcde > #abcde
UMPSYN2,DHORD5,,TRUE,added UMPSYN_anaerobic,1 xdhorS_c > 1 xorot,#abcde > #abcde
UMPSYN2,ORPT,,TRUE,added UMPSYN_anaerobic,1 xorot_c 1 xprpp_c > 1 xorot5p_c,#abcde #fghij >fghijabcde
UMPSYN2,OMPDC,,TRUE,added UMPSYN_anaerobic,1 xorot5p_c > 1 xump_c 1 xco2_c,#abcdefghij > #abcdefghi #j
IMPSYN1,IMPSYN_1,"[GLUPRT,PRAGSr,PRFGS,PRAIS]",TRUE,combo,1 xprpp_c 1 xgly_c 1 xfgam_c > 1 xgar_c 1 xair_c,#abcde #fg #hijklmno > #abcdefg #hijklmno
IMPSYN1,GLUPRT,,TRUE,added IMPSYN1,1 xprpp_c > 1 xpram_c,#abcde > #abcde
IMPSYN1,PRAGSr,,TRUE,added IMPSYN1,1 xpram_c 1 xgly_c > 1 xgar_c,#abcde #fg > #abcdefg
IMPSYN1,PRFGS,,TRUE,added IMPSYN1,1 xfgam_c > 1 xfpram,#abcdefgh > #abcdefgh
IMPSYN1,PRAIS,,TRUE,added IMPSYN1,1 xfpram_c > 1 xair_c,#abcdefgh > #abcdefgh
IMPSYN1,PRAGSr_reverse,,TRUE,added IMPSYN1,1 xgar_c > 1 xpram_c 1 xgly_c,#abcdefg > #abcde #fg
IMPSYN1,GARFT,,TRUE,added IMPSYN1,1 xgar_c 1 x10fthf_c > 1 xfgam_c,#abcdefg #h > #abcdefgh
IMPSYN1,GART,,TRUE,added IMPSYN1,1 xgar_c 1 xfor_c > 1 xfgam_c,#abcdefg #h > #abcdefgh
IMPSYN1,IMPSYN_2,"[AIRC2,AIRC3_reverse,PRASCSi,ADSL2r]",TRUE,combo,1 xair_c 1 xhco3  1 xasp_DASH_L_c > 1 xaicar_c 1 xfum_c,"#abcdefgh #i #jklm > #abcdefghi #jklm,#abcdefgh #i #jklm > #abcdefghi #mlkj"
IMPSYN1,AIRC2,,TRUE,added IMPSYN1,1 xair_c 1 xhco3 > 1 x5caiz_c,#abcdefgh #i > #abcdefgih
IMPSYN1,AIRC3_reverse,,TRUE,added IMPSYN1,1 x5caiz_c > 1 x5aizc_c,#abcdefghi > #abcdefghi
IMPSYN1,PRASCSi,,TRUE,added IMPSYN1,1 x5aizc_c 1 xasp_DASH_L_c > 1 x25aics_c,#abcdefghi #jklm > #abcdefghijklm
IMPSYN1,ADSL2r,,TRUE,added IMPSYN1,1 x25aics_c > 1 xaicar_c 1 xfum_c,"#abcdefghijklm > #abcdefghi #jklm,#abcdefghijklm > #abcdefghi #mlkj"
IMPSYN1,IMPSYN_3,"[AICART,IMPC_reverse]",TRUE,combo,1 xaicar_c 1 x10fthf_c > 1 ximp_c,#abcdefghi #j > #abcdejfghi
IMPSYN1,AICART,,TRUE,added IMPSYN1,1 xaicar_c 1 x10fthf_c > 1 xfprica_c,#abcdefghi #j > #abcdejfghi
IMPSYN1,IMPC_reverse,,TRUE,added IMPSYN1,1 xfprica_c > 1 ximp_c,#abcdefghij > #abcdefghij
,imp_to_gmp,"[IMPD,GMPS2]",TRUE,combo,1 ximp_c > 1 xgmp_c,#abcdefghij > #abcdefghij
COMBO10,imp_to_amp,"[ADSS,ADSL1r]",TRUE,combo,1 ximp_c 1 xasp_DASH_L_c > 1 xamp_c 1 xfum_c,"#abcdefghij #klmn > #abcdefghij #klmn,#abcdefghij #klmn > #abcdefghij #nmlk"
COMBO10,ADSS,,TRUE,added imp_to_amp,1 ximp_c 1 xasp_DASH_L_c > 1 xdcamp_c,#abcdefghij #klmn > #abcdefghijklmn
