id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,replicate_number,met_id,precursor_formula,precursor_mass,product_formula,product_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
30623,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,213,1529.305542,cps,0,cps,,normMax,2.98E-07,,EPI,f,
33356,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H8O6P-,213,0,cps,0,cps,,normMax,2.98E-07,,EPI,f,
19608,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,275,0,cps,0,cps,0,normMax,1,,EPI,t,
22376,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,275,0,cps,0,cps,0,normMax,1,,EPI,t,
25109,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,275,0,cps,0,cps,0,normMax,1,,EPI,t,
27842,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,275,0,cps,0,cps,0,normMax,1,,EPI,t,
30610,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,275,0,cps,0,cps,0,normMax,1,,EPI,t,
33343,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,275,0,cps,0,cps,0,normMax,1,,EPI,t,
19609,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,276,225160.8314,cps,218337.7759,cps,1,normMax,0.070083785,0.929916215,EPI,t,
22377,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,276,394090.2744,cps,388208.33,cps,1,normMax,0.070083785,0.929916215,EPI,t,
25110,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,276,191957.2553,cps,188810.415,cps,1,normMax,0.070083785,0.929916215,EPI,t,
27843,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,276,191163.1928,cps,187486.9775,cps,1,normMax,0.070083785,0.929916215,EPI,t,
30611,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,276,61172.22169,cps,59642.91615,cps,1,normMax,0.070083785,0.929916215,EPI,t,
33344,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,276,132343.7488,cps,129402.7767,cps,1,normMax,0.070083785,0.929916215,EPI,t,
19610,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,277,0,cps,0,cps,0,normMax,0.02265406,,EPI,t,
22378,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,277,0,cps,0,cps,0,normMax,0.02265406,,EPI,t,
25111,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,277,0,cps,0,cps,0,normMax,0.02265406,,EPI,t,
27844,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,277,0,cps,0,cps,0,normMax,0.02265406,,EPI,t,
30612,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,277,1529.305542,cps,0,cps,0,normMax,0.02265406,,EPI,t,
33345,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,277,0,cps,0,cps,0,normMax,0.02265406,,EPI,t,
19611,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,278,0,cps,0,cps,0,normMax,0.001467641,,EPI,t,
22379,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,278,0,cps,0,cps,0,normMax,0.001467641,,EPI,t,
25112,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,278,0,cps,0,cps,0,normMax,0.001467641,,EPI,t,
27845,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,278,0,cps,0,cps,0,normMax,0.001467641,,EPI,t,
30613,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,278,0,cps,0,cps,0,normMax,0.001467641,,EPI,t,
33346,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,278,0,cps,0,cps,0,normMax,0.001467641,,EPI,t,
19612,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,279,0,cps,0,cps,0,normMax,0.000233089,,EPI,t,
22380,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,279,0,cps,0,cps,0,normMax,0.000233089,,EPI,t,
25113,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,279,0,cps,0,cps,0,normMax,0.000233089,,EPI,t,
27846,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,279,0,cps,0,cps,0,normMax,0.000233089,,EPI,t,
30614,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,279,0,cps,0,cps,0,normMax,0.000233089,,EPI,t,
33347,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,279,0,cps,0,cps,0,normMax,0.000233089,,EPI,t,
19613,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,280,0,cps,0,cps,0,normMax,1.39E-05,,EPI,t,
22381,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,280,0,cps,0,cps,0,normMax,1.39E-05,,EPI,t,
25114,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,280,0,cps,0,cps,0,normMax,1.39E-05,,EPI,t,
27847,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,280,0,cps,0,cps,0,normMax,1.39E-05,,EPI,t,
30615,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,280,0,cps,0,cps,0,normMax,1.39E-05,,EPI,t,
33348,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,280,0,cps,0,cps,0,normMax,1.39E-05,,EPI,t,
19614,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,281,0,cps,0,cps,0,normMax,1.44E-06,,EPI,t,
22382,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,281,0,cps,0,cps,0,normMax,1.44E-06,,EPI,t,
25115,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,281,0,cps,0,cps,0,normMax,1.44E-06,,EPI,t,
27848,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,281,0,cps,0,cps,0,normMax,1.44E-06,,EPI,t,
30616,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,281,0,cps,0,cps,0,normMax,1.44E-06,,EPI,t,
33349,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H12O10P-,281,0,cps,0,cps,0,normMax,1.44E-06,,EPI,t,
19633,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,257,0,cps,0,cps,0,normMax,1,,EPI,t,
22401,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,257,0,cps,0,cps,0,normMax,1,,EPI,t,
25134,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,257,0,cps,0,cps,0,normMax,1,,EPI,t,
27867,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,257,0,cps,0,cps,0,normMax,1,,EPI,t,
30635,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,257,0,cps,0,cps,0,normMax,1,,EPI,t,
33368,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,257,0,cps,0,cps,0,normMax,1,,EPI,t,
19634,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,258,40938.33298,cps,34115.27748,cps,1,normMax,0.069472833,0.930527167,EPI,t,
22402,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,258,76465.27711,cps,70583.33272,cps,1,normMax,0.069472833,0.930527167,EPI,t,
25135,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,258,40908.92326,cps,37762.08301,cps,1,normMax,0.069472833,0.930527167,EPI,t,
27868,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,258,22057.29147,cps,18381.07623,cps,1,normMax,0.069472833,0.930527167,EPI,t,
30636,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,258,12234.44434,cps,10705.1388,cps,1,normMax,0.069472833,0.930527167,EPI,t,
33369,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,6,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,258,29409.72197,cps,26468.74977,cps,1,normMax,0.069472833,0.930527167,EPI,t,
19635,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,259,0,cps,0,cps,0,normMax,0.020556521,,EPI,t,
22403,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,2,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,259,0,cps,0,cps,0,normMax,0.020556521,,EPI,t,
25136,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,3,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,259,6293.680501,cps,3146.84025,cps,0.083333333,normMax,0.020556521,0.062776812,EPI,t,
27869,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,4,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,259,0,cps,0,cps,0,normMax,0.020556521,,EPI,t,
30637,WTEColi_113C80_U13C20_01,140505_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,5,6pgc,C5[13C]H12O10P-,276,C6H10O9P-,259,0,cps,0,cps,0,normMax,0.020556521,,EPI,t,
