"experiment_id","sample_name_abbreviation","time_point","component_group_name","component_name","n_replicates_broth","calculated_concentration_broth_average","calculated_concentration_broth_cv","n_replicates_filtrate","calculated_concentration_filtrate_average","calculated_concentration_filtrate_cv","n_replicates","calculated_concentration_average","calculated_concentration_cv","calculated_concentration_units","extracellular_percent","used_","id"
"genomatica01","ControlFermentor_25uL","0","adp","adp.adp_1.Light",6,0.0139377034632035,47.8851475276461,0,0,0,6,0.0139377034632035,47.8851475276461,"mM",0,t,2311
"genomatica01","ControlFermentor_25uL","0","adpglc","adpglc.adpglc_1.Light",6,0.000554776920995672,65.2169889981772,0,0,0,6,0.000554776920995672,65.2169889981772,"mM",0,t,2312
"genomatica01","ControlFermentor_25uL","0","AICAr","AICAr.AICAr_1.Light",6,250.190459415585,10.0438348966938,0,0,0,6,250.190459415585,10.0438348966938,"height_ratio",0,t,2313
"genomatica01","ControlFermentor_25uL","0","akg","akg.akg_1.Light",6,0.0158818544146826,25.229899164678,0,0,0,6,0.0158818544146826,25.229899164678,"mM",0,t,2314
"genomatica01","ControlFermentor_25uL","0","ala-L","ala-L.ala-L_1.Light",6,2.59170403318903,33.0347401877998,0,0,0,6,2.59170403318903,33.0347401877998,"mM",0,t,2315
"genomatica01","ControlFermentor_25uL","0","amp","amp.amp_1.Light",6,0.126747841517857,25.2707370179669,0,0,0,6,0.126747841517857,25.2707370179669,"mM",0,t,2316
"genomatica01","ControlFermentor_25uL","0","arg-L","arg-L.arg-L_1.Light",6,1.45864445492875,18.5518344184626,0,0,0,6,1.45864445492875,18.5518344184626,"mM",0,t,2317
"genomatica01","ControlFermentor_25uL","0","asn-L","asn-L.asn-L_1.Light",6,0.105662625879329,23.8545768848229,0,0,0,6,0.105662625879329,23.8545768848229,"mM",0,t,2318
"genomatica01","ControlFermentor_25uL","0","asp-L","asp-L.asp-L_1.Light",6,35.3934419868326,15.8450871078582,0,0,0,6,35.3934419868326,15.8450871078582,"height_ratio",0,t,2319
"genomatica01","ControlFermentor_25uL","0","atp","atp.atp_1.Light",5,0.00233805216450217,76.7689892019243,0,0,0,5,0.00233805216450217,76.7689892019243,"mM",0,t,2320
"genomatica01","ControlFermentor_25uL","0","camp","camp.camp_1.Light",6,0.00680134221681097,17.779957131317,0,0,0,6,0.00680134221681097,17.779957131317,"mM",0,t,2321
"genomatica01","ControlFermentor_25uL","0","chor","chor.chor_1.Light",6,3.22903436710859,25.1417591288498,0,0,0,6,3.22903436710859,25.1417591288498,"mM",0,t,2322
"genomatica01","ControlFermentor_25uL","0","cit","cit.cit_2.Light",6,1.36988193069083,9.0709603180631,0,0,0,6,1.36988193069083,9.0709603180631,"mM",0,t,2323
"genomatica01","ControlFermentor_25uL","0","citr-L","citr-L.citr-L_1.Light",6,0.0250674938897908,14.8434689970365,0,0,0,6,0.0250674938897908,14.8434689970365,"mM",0,t,2324
