Sample Name,Sample Type,Component Group Name
140521_Blank-02,Blank,adn
140521_Blank-02,Blank,phe-L
140521_Blank-02,Blank,phe-L
140521_Blank-02,Blank,asp-L
140521_Blank-02,Blank,asp-L
140521_Blank-02,Blank,glu-L
140521_Blank-02,Blank,glu-L
140521_Blank-02,Blank,skm
140521_Blank-02,Blank,skm
140521_Blank-02,Blank,glx
140521_Blank-02,Blank,glyclt
140521_Blank-02,Blank,glyclt
140521_Blank-02,Blank,trp-L
140521_Blank-02,Blank,trp-L
140521_Blank-02,Blank,5oxpro
140521_Blank-02,Blank,5oxpro
140521_Blank-02,Blank,lac-L
140521_Blank-02,Blank,lac-L
140521_Blank-02,Blank,urate
140521_Blank-02,Blank,urate
140521_Blank-02,Blank,gthrd
140521_Blank-02,Blank,gthrd
140521_Blank-02,Blank,nad
140521_Blank-02,Blank,nad
140521_Blank-02,Blank,pyr
140521_Blank-02,Blank,pyr
140521_Blank-02,Blank,f6p
140521_Blank-02,Blank,f6p
140521_Blank-02,Blank,g3p
140521_Blank-02,Blank,g3p
140521_Blank-02,Blank,g6p
140521_Blank-02,Blank,g6p
140521_Blank-02,Blank,r5p
140521_Blank-02,Blank,r5p
140521_Blank-02,Blank,s7p
140521_Blank-02,Blank,s7p
140521_Blank-02,Blank,glyc3p
140521_Blank-02,Blank,glyc3p
140521_Blank-02,Blank,r5p
140521_Blank-02,Blank,r5p
140521_Blank-02,Blank,g1p
140521_Blank-02,Blank,g1p
140521_Blank-02,Blank,cmp
140521_Blank-02,Blank,cmp
140521_Blank-02,Blank,ru5p-D
140521_Blank-02,Blank,ru5p-D
140521_Blank-02,Blank,2obut
140521_Blank-02,Blank,2obut
140521_Blank-02,Blank,f1p
140521_Blank-02,Blank,f1p
140521_Blank-02,Blank,ru5p-D
140521_Blank-02,Blank,ru5p-D
140521_Blank-02,Blank,dcmp
140521_Blank-02,Blank,dcmp
140521_Blank-02,Blank,ump
140521_Blank-02,Blank,ump
140521_Blank-02,Blank,dhap
140521_Blank-02,Blank,dhap
140521_Blank-02,Blank,dump
140521_Blank-02,Blank,dump
140521_Blank-02,Blank,dimp
140521_Blank-02,Blank,dimp
140521_Blank-02,Blank,35cgmp
140521_Blank-02,Blank,35cgmp
140521_Blank-02,Blank,dgmp
140521_Blank-02,Blank,dgmp
140521_Blank-02,Blank,dtmp
140521_Blank-02,Blank,ribflv
140521_Blank-02,Blank,amp
140521_Blank-02,Blank,amp
140521_Blank-02,Blank,gmp
140521_Blank-02,Blank,gmp
140521_Blank-02,Blank,imp
140521_Blank-02,Blank,imp
140521_Blank-02,Blank,camp
140521_Blank-02,Blank,camp
140521_Blank-02,Blank,gthox
140521_Blank-02,Blank,gthox
140521_Blank-02,Blank,btn
