id,experiment_id,sample_name,sample_id,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_,comment_,average,CV
35454,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2,23dpg,23dpg.23dpg_1.Light,0.023062517,mM,t,,,
35537,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3,23dpg,23dpg.23dpg_1.Light,0.007862194,mM,t,,,
35625,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4,23dpg,23dpg.23dpg_1.Light,0.023336039,mM,t,,,
35712,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5,23dpg,23dpg.23dpg_1.Light,0.02795211,mM,t,,,
35795,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6,23dpg,23dpg.23dpg_1.Light,0.00731915,mM,t,,,
35882,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-1,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-1,23dpg,23dpg.23dpg_1.Light,0.005709434,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",0.005709434,0
35929,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-4,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-4,23dpg,23dpg.23dpg_1.Light,0.005709434,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",,
36594,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-1,140503_0_OxicWTEcoliGlcM9_Broth-1,23dpg,23dpg.23dpg_1.Light,0.009509867,mM,t,,,
36677,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-2,140503_0_OxicWTEcoliGlcM9_Broth-2,23dpg,23dpg.23dpg_1.Light,0.004908513,mM,t,,,
36762,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-3,140503_0_OxicWTEcoliGlcM9_Broth-3,23dpg,23dpg.23dpg_1.Light,0.027477263,mM,t,,,
36847,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-4,140503_0_OxicWTEcoliGlcM9_Broth-4,23dpg,23dpg.23dpg_1.Light,0.010503203,mM,t,,,
36931,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-5,140503_0_OxicWTEcoliGlcM9_Broth-5,23dpg,23dpg.23dpg_1.Light,0.007833128,mM,t,,,
37017,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-6,140503_0_OxicWTEcoliGlcM9_Broth-6,23dpg,23dpg.23dpg_1.Light,0.031907699,mM,t,,,
37104,rpomut02,140503_0_OxicWTEcoliGlcM9_Filtrate-1,140503_0_OxicWTEcoliGlcM9_Filtrate-1,23dpg,23dpg.23dpg_1.Light,0.005327653,mM,t,,0.004549045,24.20550051
37145,rpomut02,140503_0_OxicWTEcoliGlcM9_Filtrate-4,140503_0_OxicWTEcoliGlcM9_Filtrate-4,23dpg,23dpg.23dpg_1.Light,0.003770436,mM,t,,,
37185,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-1,140523_0_OxicRph-pyrE82GlcM9_Broth-1,23dpg,23dpg.23dpg_1.Light,,mM,t,,,
37260,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-2,140523_0_OxicRph-pyrE82GlcM9_Broth-2,23dpg,23dpg.23dpg_1.Light,0.027058502,mM,t,,,
37344,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-3,140523_0_OxicRph-pyrE82GlcM9_Broth-3,23dpg,23dpg.23dpg_1.Light,0.022136468,mM,t,,,
37429,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-4,140523_0_OxicRph-pyrE82GlcM9_Broth-4,23dpg,23dpg.23dpg_1.Light,,mM,t,,,
37505,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-5,140523_0_OxicRph-pyrE82GlcM9_Broth-5,23dpg,23dpg.23dpg_1.Light,0.023544195,mM,t,,,
37589,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-6,140523_0_OxicRph-pyrE82GlcM9_Broth-6,23dpg,23dpg.23dpg_1.Light,0.01630131,mM,t,,,
37673,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Filtrate-1,140523_0_OxicRph-pyrE82GlcM9_Filtrate-1,23dpg,23dpg.23dpg_1.Light,0.005709434,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",0.005709434,0
37748,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Filtrate-4,140523_0_OxicRph-pyrE82GlcM9_Filtrate-4,23dpg,23dpg.23dpg_1.Light,0.005709434,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",,
34761,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-1,140503_0_OxicRpoBE546VGlcM9_Broth-1,accoa,accoa.accoa_1.Light,0.917800882,mM,t,,,
34844,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-2,140503_0_OxicRpoBE546VGlcM9_Broth-2,accoa,accoa.accoa_1.Light,0.794004012,mM,t,,,
34928,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-3,140503_0_OxicRpoBE546VGlcM9_Broth-3,accoa,accoa.accoa_1.Light,0.778486393,mM,t,,,
35017,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-4,140503_0_OxicRpoBE546VGlcM9_Broth-4,accoa,accoa.accoa_1.Light,0.922800935,mM,t,,,
35102,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-5,140503_0_OxicRpoBE546VGlcM9_Broth-5,accoa,accoa.accoa_1.Light,0.785255809,mM,t,,,
35186,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-6,140503_0_OxicRpoBE546VGlcM9_Broth-6,accoa,accoa.accoa_1.Light,0.696689399,mM,t,,,
35975,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-1,140503_0_OxicRpoBE672KGlcM9_Broth-1,accoa,accoa.accoa_1.Light,1.014528755,mM,t,,,
36064,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-2,140503_0_OxicRpoBE672KGlcM9_Broth-2,accoa,accoa.accoa_1.Light,0.826724995,mM,t,,,
36152,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-3,140503_0_OxicRpoBE672KGlcM9_Broth-3,accoa,accoa.accoa_1.Light,0.901811426,mM,t,,,
36240,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-4,140503_0_OxicRpoBE672KGlcM9_Broth-4,accoa,accoa.accoa_1.Light,0.919553187,mM,t,,,
36329,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-5,140503_0_OxicRpoBE672KGlcM9_Broth-5,accoa,accoa.accoa_1.Light,0.961449125,mM,t,,,
36416,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-6,140503_0_OxicRpoBE672KGlcM9_Broth-6,accoa,accoa.accoa_1.Light,1.017313923,mM,t,,,
35368,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1,accoa,accoa.accoa_1.Light,0.877897965,mM,t,,,
35455,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2,accoa,accoa.accoa_1.Light,1.95835534,mM,t,,,
35538,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3,accoa,accoa.accoa_1.Light,0.683126626,mM,t,,,
35626,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4,accoa,accoa.accoa_1.Light,0.915478489,mM,t,,,
35713,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5,accoa,accoa.accoa_1.Light,1.767574385,mM,t,,,
35796,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6,accoa,accoa.accoa_1.Light,0.792739719,mM,t,,,
35883,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-1,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-1,accoa,accoa.accoa_1.Light,,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",#DIV/0!,#DIV/0!
35930,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-4,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-4,accoa,accoa.accoa_1.Light,,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",,
36595,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-1,140503_0_OxicWTEcoliGlcM9_Broth-1,accoa,accoa.accoa_1.Light,0.933172848,mM,t,,,
36678,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-2,140503_0_OxicWTEcoliGlcM9_Broth-2,accoa,accoa.accoa_1.Light,0.781300153,mM,t,,,
36763,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-3,140503_0_OxicWTEcoliGlcM9_Broth-3,accoa,accoa.accoa_1.Light,0.701102363,mM,t,,,
36848,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-4,140503_0_OxicWTEcoliGlcM9_Broth-4,accoa,accoa.accoa_1.Light,0.995006143,mM,t,,,
36932,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-5,140503_0_OxicWTEcoliGlcM9_Broth-5,accoa,accoa.accoa_1.Light,0.783277424,mM,t,,,
37018,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-6,140503_0_OxicWTEcoliGlcM9_Broth-6,accoa,accoa.accoa_1.Light,0.682933591,mM,t,,,
37186,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-1,140523_0_OxicRph-pyrE82GlcM9_Broth-1,accoa,accoa.accoa_1.Light,,mM,t,,,
37261,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-2,140523_0_OxicRph-pyrE82GlcM9_Broth-2,accoa,accoa.accoa_1.Light,1.44599825,mM,t,,,
37345,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-3,140523_0_OxicRph-pyrE82GlcM9_Broth-3,accoa,accoa.accoa_1.Light,2.992058366,mM,t,,,
37430,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-4,140523_0_OxicRph-pyrE82GlcM9_Broth-4,accoa,accoa.accoa_1.Light,,mM,t,,,
37506,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-5,140523_0_OxicRph-pyrE82GlcM9_Broth-5,accoa,accoa.accoa_1.Light,1.712000166,mM,t,,,
37590,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-6,140523_0_OxicRph-pyrE82GlcM9_Broth-6,accoa,accoa.accoa_1.Light,2.257498611,mM,t,,,
37674,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Filtrate-1,140523_0_OxicRph-pyrE82GlcM9_Filtrate-1,accoa,accoa.accoa_1.Light,,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",#DIV/0!,#DIV/0!
37749,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Filtrate-4,140523_0_OxicRph-pyrE82GlcM9_Filtrate-4,accoa,accoa.accoa_1.Light,,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",,
34828,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-1-10.0x,140503_0_OxicRpoBE546VGlcM9_Broth-1,acon-C,acon-C.acon-C_1.Light,0.397431841,mM,t,,0.362163727,0.127154508
34911,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-2-10.0x,140503_0_OxicRpoBE546VGlcM9_Broth-2,acon-C,acon-C.acon-C_1.Light,0.368059457,mM,t,,,
35000,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-3-10.0x,140503_0_OxicRpoBE546VGlcM9_Broth-3,acon-C,acon-C.acon-C_1.Light,0.298075336,mM,t,,,
35086,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-4-10.0x,140503_0_OxicRpoBE546VGlcM9_Broth-4,acon-C,acon-C.acon-C_1.Light,0.320243582,mM,t,,,
35169,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-5-10.0x,140503_0_OxicRpoBE546VGlcM9_Broth-5,acon-C,acon-C.acon-C_1.Light,0.583789282,mM,t,,,
35258,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-6-10.0x,140503_0_OxicRpoBE546VGlcM9_Broth-6,acon-C,acon-C.acon-C_1.Light,0.205382866,mM,t,,,
35311,rpomut02,140503_0_OxicRpoBE546VGlcM9_Filtrate-1-10.0x,140503_0_OxicRpoBE546VGlcM9_Filtrate-1,acon-C,acon-C.acon-C_1.Light,0.103053849,mM,t,,0.09583186,10.65766192
35358,rpomut02,140503_0_OxicRpoBE546VGlcM9_Filtrate-4-10.0x,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,acon-C,acon-C.acon-C_1.Light,0.08860987,mM,t,,,
36047,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-1-10.0x,140503_0_OxicRpoBE672KGlcM9_Broth-1,acon-C,acon-C.acon-C_1.Light,0.138434638,mM,t,,0.176078384,0.032027468
36135,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-2-10.0x,140503_0_OxicRpoBE672KGlcM9_Broth-2,acon-C,acon-C.acon-C_1.Light,0.179642061,mM,t,,,
36223,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-3-10.0x,140503_0_OxicRpoBE672KGlcM9_Broth-3,acon-C,acon-C.acon-C_1.Light,0.201586599,mM,t,,,
36312,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-4-10.0x,140503_0_OxicRpoBE672KGlcM9_Broth-4,acon-C,acon-C.acon-C_1.Light,0.159842563,mM,t,,,
36399,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-5-10.0x,140503_0_OxicRpoBE672KGlcM9_Broth-5,acon-C,acon-C.acon-C_1.Light,0.153289462,mM,t,,,
36486,rpomut02,140503_0_OxicRpoBE672KGlcM9_Broth-6-10.0x,140503_0_OxicRpoBE672KGlcM9_Broth-6,acon-C,acon-C.acon-C_1.Light,0.223674982,mM,t,,,
36539,rpomut02,140503_0_OxicRpoBE672KGlcM9_Filtrate-1-10.0x,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,acon-C,acon-C.acon-C_1.Light,0.043761364,mM,t,,0.041034217,9.398906588
36585,rpomut02,140503_0_OxicRpoBE672KGlcM9_Filtrate-4-10.0x,140503_0_OxicRpoBE672KGlcM9_Filtrate-4,acon-C,acon-C.acon-C_1.Light,0.038307071,mM,t,,,
35438,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-1,acon-C,acon-C.acon-C_1.Light,0.143501123,mM,t,,0.320346405,0.271726553
35522,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-2,acon-C,acon-C.acon-C_1.Light,0.726126974,mM,t,,,
35609,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-3,acon-C,acon-C.acon-C_1.Light,0.144228366,mM,t,,,
35696,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-4,acon-C,acon-C.acon-C_1.Light,0.107964228,mM,t,,,
35780,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-5,acon-C,acon-C.acon-C_1.Light,0.605543374,mM,t,,,
35866,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Broth-6,acon-C,acon-C.acon-C_1.Light,0.194714363,mM,t,,,
35920,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-1-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-1,acon-C,acon-C.acon-C_1.Light,0.068433039,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",0.068433039,0
35965,rpomut02,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-4-10.0x,140503_0_OxicRpoBE672K-rph-pyrE82GlcM9_Filtrate-4,acon-C,acon-C.acon-C_1.Light,0.068433039,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",,
36661,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-1-10.0x,140503_0_OxicWTEcoliGlcM9_Broth-1,acon-C,acon-C.acon-C_1.Light,0.086318184,mM,t,,0.078222364,0.009264818
36746,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-2-10.0x,140503_0_OxicWTEcoliGlcM9_Broth-2,acon-C,acon-C.acon-C_1.Light,0.063656137,mM,t,,,
36833,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-3-10.0x,140503_0_OxicWTEcoliGlcM9_Broth-3,acon-C,acon-C.acon-C_1.Light,0.087145907,mM,t,,,
36915,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-4-10.0x,140503_0_OxicWTEcoliGlcM9_Broth-4,acon-C,acon-C.acon-C_1.Light,0.0778748,mM,t,,,
37001,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-5-10.0x,140503_0_OxicWTEcoliGlcM9_Broth-5,acon-C,acon-C.acon-C_1.Light,0.083064488,mM,t,,,
37089,rpomut02,140503_0_OxicWTEcoliGlcM9_Broth-6-10.0x,140503_0_OxicWTEcoliGlcM9_Broth-6,acon-C,acon-C.acon-C_1.Light,0.071274671,mM,t,,,
37138,rpomut02,140503_0_OxicWTEcoliGlcM9_Filtrate-1-10.0x,140503_0_OxicWTEcoliGlcM9_Filtrate-1,acon-C,acon-C.acon-C_1.Light,0.035551492,mM,t,,0.030206515,25.02420193
37178,rpomut02,140503_0_OxicWTEcoliGlcM9_Filtrate-4-10.0x,140503_0_OxicWTEcoliGlcM9_Filtrate-4,acon-C,acon-C.acon-C_1.Light,0.024861537,mM,t,,,
37331,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-2-10.0x,140523_0_OxicRph-pyrE82GlcM9_Broth-2,acon-C,acon-C.acon-C_1.Light,0.146489308,mM,t,,0.109856713,0.0354393
37416,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-3-10.0x,140523_0_OxicRph-pyrE82GlcM9_Broth-3,acon-C,acon-C.acon-C_1.Light,0.141399088,mM,t,,,
37576,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-5-10.0x,140523_0_OxicRph-pyrE82GlcM9_Broth-5,acon-C,acon-C.acon-C_1.Light,0.102991309,mM,t,,,
37660,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Broth-6-10.0x,140523_0_OxicRph-pyrE82GlcM9_Broth-6,acon-C,acon-C.acon-C_1.Light,0.131394497,mM,t,,,
37736,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Filtrate-1-10.0x,140523_0_OxicRph-pyrE82GlcM9_Filtrate-1,acon-C,acon-C.acon-C_1.Light,0.068433039,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",0.068433039,0
37815,rpomut02,140523_0_OxicRph-pyrE82GlcM9_Filtrate-4-10.0x,140523_0_OxicRph-pyrE82GlcM9_Filtrate-4,acon-C,acon-C.acon-C_1.Light,0.068433039,mM,t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4",,
34762,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-1,140503_0_OxicRpoBE546VGlcM9_Broth-1,ade,ade.ade_1.Light,0.001513465,mM,t,,0.001777088,0.000263312
34845,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-2,140503_0_OxicRpoBE546VGlcM9_Broth-2,ade,ade.ade_1.Light,0.001550928,mM,t,,,
34929,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-3,140503_0_OxicRpoBE546VGlcM9_Broth-3,ade,ade.ade_1.Light,0.002015999,mM,t,,,
35018,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-4,140503_0_OxicRpoBE546VGlcM9_Broth-4,ade,ade.ade_1.Light,0.001867934,mM,t,,,
35103,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-5,140503_0_OxicRpoBE546VGlcM9_Broth-5,ade,ade.ade_1.Light,0.001585177,mM,t,,,
35187,rpomut02,140503_0_OxicRpoBE546VGlcM9_Broth-6,140503_0_OxicRpoBE546VGlcM9_Broth-6,ade,ade.ade_1.Light,0.002129023,mM,t,,,
35275,rpomut02,140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-1,ade,ade.ade_1.Light,0.002190193,mM,t,,0.002328778,0.000195989
35322,rpomut02,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,ade,ade.ade_1.Light,0.002467363,mM,t,,,
