experiment_id,time_point,sample_name_abbreviation,met_id,concentration,concentration_var,concentration_units,concentration_lb,concentration_ub,measured,used_,comment_
rpomut02,0,OxicWtGlc,na1_p,,,M,1.00E-15,0.010467979,TRUE,TRUE,
rpomut02,0,OxicWtGlc,fe2_p,,,M,1.00E-15,0.00001,TRUE,TRUE,
rpomut02,0,OxicWtGlc,fe3_p,,,M,1.00E-15,0.000369959,TRUE,TRUE,
rpomut02,0,OxicWtGlc,fum_p,,,M,1.00E-15,0.0002,TRUE,TRUE,
rpomut02,0,OxicWtGlc,H2PO4_p,,,M,1.00E-15,0.002204488,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,co2_c,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,pi_c,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,o2_c,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRph-pyrE82,h2o_c,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,co2_c,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,pi_c,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,o2_c,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE546V,h2o_c,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,co2_c,,,M,0.0001,0.0001,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,pi_c,,,M,0.004790082,0.004790082,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,o2_c,,,M,8.20E-06,8.20E-06,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K,h2o_c,,,M,55.5,55.5,TRUE,TRUE,
rpomut02,0,OxicRpoBE672K-rph-pyrE82,co2_c,,,M,0.0001,0.0001,TRUE,TRUE,
