Accuracy For QCs Used,Accuracy For Stds Used,Acq. Index - 1,Baseline Sub. Window,Calc Conc Used,Comment,Expected RT,Experiment,Extraction Type,Group Name,Ion Ratio Tolerance,Ion Ratio Used,IS,Lower Lim Calc Conc,Max Tolerance LLOQ,Max Tolerance QC,Max Tolerance Stds,Min Peak Height,Min Peak Width,Name,Noise Percentage,Peak Splitting Factor,Period,Q1 Mass - 1,Q3 Mass - 1,Regression Type,Regression Weighting,Report Largest Peak,RT Window,Smoothing Width,Units,Update RT,Upper Lim Calc Conc,Use Area
TRUE,TRUE,28,2,TRUE,,2.3,1,MRM,asp-L_m0-0,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m0-0,40,2,1,132.0297,88.03986,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,29,2,TRUE,,2.3,1,MRM,asp-L_m1-0,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m1-0,40,2,1,133.033,88.03986,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,30,2,TRUE,,2.3,1,MRM,asp-L_m1-1,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m1-1,40,2,1,133.033,89.04321,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,32,2,TRUE,,2.3,1,MRM,asp-L_m2-1,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m2-1,40,2,1,134.0364,89.04321,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,33,2,TRUE,,2.3,1,MRM,asp-L_m2-2,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m2-2,40,2,1,134.0364,90.04656,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,36,2,TRUE,,2.3,1,MRM,asp-L_m3-2,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m3-2,40,2,1,135.0397,90.04656,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,37,2,TRUE,,2.3,1,MRM,asp-L_m3-3,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m3-3,40,2,1,135.0397,91.04992,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,38,2,TRUE,,2.3,1,MRM,asp-L_m4-3,20,FALSE,FALSE,,20,15,15,0,3,asp-L.asp-L_m4-3,40,2,1,136.0431,91.04992,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,39,2,TRUE,,2.3,1,MRM,glu-L_m0-0,20,FALSE,FALSE,,20,15,15,0,3,glu-L.glu-L_m0-0,40,2,1,146.0453,128.0348,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,41,2,TRUE,,2.3,1,MRM,glu-L_m1-1,20,FALSE,FALSE,,20,15,15,0,3,glu-L.glu-L_m1-1,40,2,1,147.0487,129.0381,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,44,2,TRUE,,2.3,1,MRM,glu-L_m2-2,20,FALSE,FALSE,,20,15,15,0,3,glu-L.glu-L_m2-2,40,2,1,148.052,130.0415,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,48,2,TRUE,,2.3,1,MRM,glu-L_m3-3,20,FALSE,FALSE,,20,15,15,0,3,glu-L.glu-L_m3-3,40,2,1,149.0554,131.0448,Linear,None,TRUE,30,0,uM,0,,TRUE
TRUE,TRUE,53,2,TRUE,,2.3,1,MRM,glu-L_m4-4,20,FALSE,FALSE,,20,15,15,0,3,glu-L.glu-L_m4-4,40,2,1,150.0587,132.0482,Linear,None,TRUE,30,0,uM,0,,TRUE
