"experiment_id","sample_name_short","time_point","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_"
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","dtmp","dtmp.dtmp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dtmp","dtmp.dtmp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dtmp","dtmp.dtmp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dttp","dttp.dttp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dttp","dttp.dttp_1.Light",0.0032558162321747,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dttp","dttp.dttp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","dttp","dttp.dttp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dttp","dttp.dttp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dttp","dttp.dttp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","dump","dump.dump_1.Light",0.000492898507130125,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","dump","dump.dump_1.Light",0.00109614182263815,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","dump","dump.dump_1.Light",0.000983581885026738,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","dump","dump.dump_1.Light",0.000680611073975045,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","dump","dump.dump_1.Light",0.00113662344028521,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","dump","dump.dump_1.Light",0.000742136363636364,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","f6p","f6p.f6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","f6p","f6p.f6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","f6p","f6p.f6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","f6p","f6p.f6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","f6p","f6p.f6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","f6p","f6p.f6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","fad","fad.fad_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","fad","fad.fad_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","fad","fad.fad_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","fad","fad.fad_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","fad","fad.fad_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","fad","fad.fad_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","fdp","fdp.fdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","fdp","fdp.fdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","fdp","fdp.fdp_1.Light",0.00491527996880499,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","fdp","fdp.fdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","fdp","fdp.fdp_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","fdp","fdp.fdp_1.Light",0.00964522036541898,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","fum","fum.fum_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","fum","fum.fum_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","fum","fum.fum_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","fum","fum.fum_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","fum","fum.fum_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","fum","fum.fum_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","g1p","g1p.g1p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","g1p","g1p.g1p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","g1p","g1p.g1p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","g1p","g1p.g1p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","g1p","g1p.g1p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","g1p","g1p.g1p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","g6p","g6p.g6p_1.Light",0.111300888201871,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","g6p","g6p.g6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","g6p","g6p.g6p_1.Light",0.00169958985071295,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-4","0","g6p","g6p.g6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-5","0","g6p","g6p.g6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-6","0","g6p","g6p.g6p_1.Light",,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-1","0","g6p","g6p.g6p_2.Light",0.0980253180147055,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-2","0","g6p","g6p.g6p_2.Light",0.0115933650289655,"mM",t
"chemoNLim01","OxicWtGlcDil0p25_Broth-3","0","g6p","g6p.g6p_2.Light",0.0577232735628335,"mM",t
