"experiment_id","sample_name_abbreviation","time_point","component_group_name","component_name","n_replicates_broth","calculated_concentration_broth_average","calculated_concentration_broth_cv","n_replicates_filtrate","calculated_concentration_filtrate_average","calculated_concentration_filtrate_cv","n_replicates","calculated_concentration_average","calculated_concentration_cv","calculated_concentration_units","extracellular_percent","used_"
"rpomut02","OxicRph-pyrE82","0","udpglcur","udpglcur.udpglcur_1.Light",4,0.069792838,11.5479279032899,2,0.000540461,0,4,0.069252377,11.6380505089376,"mM",0.774378883976605,t
"rpomut02","OxicRph-pyrE82","0","ump","ump.ump_1.Light",4,0.06860759125,10.3142378570956,0,0,0,4,0.06860759125,10.3142378570956,"mM",0,t
"rpomut02","OxicRph-pyrE82","0","ura","ura.ura_1.Light",4,0.00273921275,35.6332512945683,2,0.000940157,0,4,0.00179905575,54.2546034329595,"mM",34.3221606280856,t
"rpomut02","OxicRph-pyrE82","0","utp","utp.utp_1.Light",4,0.29318379975,8.20113210911921,0,0,0,4,0.29318379975,8.20113210911921,"mM",0,t
"rpomut02","OxicRph-pyrE82","0","xan","xan.xan_1.Light",4,0.0013034615,18.3919243678705,2,0.002045352,5.91521654952302,4,0,0,"mM",156.916947681232,t
"rpomut02","OxicRpoBE546V","0","23dpg","23dpg.23dpg_1.Light",6,0.017686447,22.1175789662439,2,0.0072708055,21.9224334910348,6,0.0104156415,40.5552419550615,"mM",41.1094749555974,t
"rpomut02","OxicRpoBE546V","0","accoa","accoa.accoa_1.Light",6,0.815839571666667,9.86199874540052,0,0,0,6,0.815839571666667,9.86199874540052,"mM",0,t
"rpomut02","OxicRpoBE546V","0","acon-C","acon-C.acon-C_1.Light",6,0.362163727333333,32.0506018109865,2,0.0958318595,7.53610494221914,6,0.266331867833333,43.6673638753101,"mM",26.4609214748326,t
"rpomut02","OxicRpoBE546V","0","ade","ade.ade_1.Light",6,0.00177708766666667,13.5260348240632,2,0.002328778,5.95097514662197,6,0,0,"mM",131.044632388235,t
"rpomut02","OxicRpoBE546V","0","adp","adp.adp_1.Light",6,0.185558837666667,34.1751850184519,2,0.0011156905,55.8651794561305,6,0.184443147166667,34.3835702184748,"mM",0.601259694245444,t
"rpomut02","OxicRpoBE546V","0","adpglc","adpglc.adpglc_1.Light",6,0.0017670235,25.1633975473578,0,0,0,6,0.0017670235,25.1633975473578,"mM",0,t
"rpomut02","OxicRpoBE546V","0","AICAr","AICAr.AICAr_1.Light",6,2782.01553766667,15.235263110292,2,537.7352361,2.00644679308193,6,2244.28030156667,18.8917886237475,"height_ratio",19.3289803316846,t
"rpomut02","OxicRpoBE546V","0","akg","akg.akg_1.Light",6,0.031598272,28.0364176494156,0,0,0,6,0.031598272,28.0364176494156,"mM",0,t
"rpomut02","OxicRpoBE546V","0","amp","amp.amp_1.Light",6,0.077754906,44.6509383648885,0,0,0,6,0.077754906,44.6509383648885,"mM",0,t
"rpomut02","OxicRpoBE546V","0","asn-L","asn-L.asn-L_1.Light",6,0.250351189833333,11.653703346733,2,0.0346221115,11.6367382734586,6,0.215729078333333,13.6523326336881,"mM",13.8294175965567,t
"rpomut02","OxicRpoBE546V","0","atp","atp.atp_1.Light",6,1.51749575791599,9.34008293166765,0,0,0,6,1.51749575791599,9.34008293166765,"mM",0,t
"rpomut02","OxicRpoBE546V","0","camp","camp.camp_1.Light",6,0.0121458933333333,17.4863600787083,2,0.003156199,6.19463474894961,6,0.00898969433333333,23.7255542272068,"mM",25.9857296073735,t
"rpomut02","OxicRpoBE546V","0","chor","chor.chor_1.Light",6,6.3910353355,33.7679763447669,2,1.9657420535,2.25870914349851,6,4.425293282,48.7782357619787,"mM",30.7578029271874,t
"rpomut02","OxicRpoBE546V","0","cit","cit.cit_1.Light",6,0.744429205333333,8.60187626830809,2,0.167068045,7.21544865147611,6,0.577361160333333,11.2857718957824,"mM",22.4424356007355,t
"rpomut02","OxicRpoBE546V","0","citr-L","citr-L.citr-L_1.Light",6,0.0284994368333333,14.6056850832707,2,0.004375561,12.0306630395508,6,0.0241238758333333,17.3922786980205,"mM",15.3531489958506,t
"rpomut02","OxicRpoBE546V","0","cmp","cmp.cmp_1.Light",6,0.028199216,18.7525971546686,0,0,0,6,0.028199216,18.7525971546686,"mM",0,t
"rpomut02","OxicRpoBE546V","0","coa","coa.coa_1.Light",6,0.264267621333333,12.8752042277276,1,0.022201178,0,6,0.242066443333333,14.056056463626,"mM",8.40102086210425,t
"rpomut02","OxicRpoBE546V","0","ctp","ctp.ctp_1.Light",6,0.0514173101666667,21.5238857071375,0,0,0,6,0.0514173101666667,21.5238857071375,"mM",0,t
"rpomut02","OxicRpoBE546V","0","cytd","cytd.cytd_1.Light",6,0.00183606483333333,23.3316960736818,0,0,0,6,0.00183606483333333,23.3316960736818,"mM",0,t
"rpomut02","OxicRpoBE546V","0","dadp","dadp.dadp_1.Light",6,0.0206789546666667,38.0394265128629,0,0,0,6,0.0206789546666667,38.0394265128629,"mM",0,t
"rpomut02","OxicRpoBE546V","0","damp","damp.damp_1.Light",6,0.00162884916666667,24.9587396471496,0,0,0,6,0.00162884916666667,24.9587396471496,"mM",0,t
"rpomut02","OxicRpoBE546V","0","datp","datp.datp_1.Light",6,0.0300025866666667,9.12633720041947,0,0,0,6,0.0300025866666667,9.12633720041947,"mM",0,t
"rpomut02","OxicRpoBE546V","0","dcdp","dcdp.dcdp_1.Light",6,0.0168505123333333,29.104525258235,2,0.008851602,19.390557776999,6,0.00799891033333333,64.9580168425596,"mM",52.5301654032794,t
"rpomut02","OxicRpoBE546V","0","dcmp","dcmp.dcmp_1.Light",2,0.0017171755,17.8559209585741,0,0,0,2,0.0017171755,17.8559209585741,"mM",0,t
"rpomut02","OxicRpoBE546V","0","dctp","dctp.dctp_1.Light",6,0.0232474041666667,14.2631823003358,0,0,0,6,0.0232474041666667,14.2631823003358,"mM",0,t
"rpomut02","OxicRpoBE546V","0","dhap","dhap.dhap_1.Light",3,0.287139404666667,11.1326410640401,0,0,0,3,0.287139404666667,11.1326410640401,"mM",0,t
"rpomut02","OxicRpoBE546V","0","ditp","ditp.ditp_1.Light",6,0.00595135866666667,36.7296431027555,2,0.0033798565,52.2657544780377,6,0.00257150216666667,109.293078975639,"mM",56.7913427723731,t
"rpomut02","OxicRpoBE546V","0","dtmp","dtmp.dtmp_1.Light",6,0.00939432716666667,13.1297374216729,2,0.000126656,20.1388011622031,6,0.00926767116666667,13.312019532219,"mM",1.34821789525711,t
"rpomut02","OxicRpoBE546V","0","dttp","dttp.dttp_1.Light",6,0.0221038911666667,12.4254282661308,2,0.000650212,18.2737322596322,6,0.0214536791666667,12.8139888918826,"mM",2.94161781334021,t
"rpomut02","OxicRpoBE546V","0","dump","dump.dump_1.Light",6,0.00787713016666667,16.1148942728494,0,0,0,6,0.00787713016666667,16.1148942728494,"mM",0,t
"rpomut02","OxicRpoBE546V","0","f1p","f1p.f1p_1.Light",6,0.0342169053333333,15.8484713123214,0,0,0,6,0.0342169053333333,15.8484713123214,"mM",0,t
"rpomut02","OxicRpoBE546V","0","f6p","f6p.f6p_1.Light",6,0.558235700333333,13.7020215471317,2,0.015989879,20.997919996768,6,0.542245821333333,14.119653453361,"mM",2.86435980186365,t
"rpomut02","OxicRpoBE546V","0","fad","fad.fad_1.Light",6,0.0118114781666667,25.3671878058102,0,0,0,6,0.0118114781666667,25.3671878058102,"mM",0,t
"rpomut02","OxicRpoBE546V","0","fdp","fdp.fdp_1.Light",6,0.9505151615,12.391977063564,2,0.011825834,74.2632697194972,6,0.9386893275,12.5829245220375,"mM",1.24414995983207,t
"rpomut02","OxicRpoBE546V","0","fum","fum.fum_1.Light",6,0.5049679535,26.948988667319,2,0.018846446,0.559978257969698,6,0.4861215075,27.9937824979009,"mM",3.73220634485273,t
"rpomut02","OxicRpoBE546V","0","g1p","g1p.g1p_1.Light",2,0.055258955,1.32362618873267,2,0.01639392,19.0272796256173,2,0.038865035,8.24371335068148,"mM",29.6674448512463,t
"rpomut02","OxicRpoBE546V","0","g6p","g6p.g6p_1.Light",6,0.427610618166667,17.1373893962765,1,0.017525651,0,6,0.410084967166667,17.8697837283227,"mM",4.09850697233368,t
