experiment_id,sample_name_short,time_point,component_group_name,component_name,calculated_concentration,calculated_concentration_units,used_
rpomut02,OxicRph-pyrE82_Broth-1,0,camp,camp.camp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,camp,camp.camp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,camp,camp.camp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,camp,camp.camp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,camp,camp.camp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,camp,camp.camp_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,chor,chor.chor_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,chor,chor.chor_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,chor,chor.chor_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,chor,chor.chor_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,chor,chor.chor_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,chor,chor.chor_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,cit,cit.cit_1.Light,0.344698196,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,cit,cit.cit_1.Light,0.81107942,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,cit,cit.cit_1.Light,0.805761574,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,cit,cit.cit_1.Light,0.247000129,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,cit,cit.cit_1.Light,0.636753525,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,cit,cit.cit_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,citr-L,citr-L.citr-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-2,0,citr-L,citr-L.citr-L_1.Light,0.006039521,mM,t
rpomut02,OxicRph-pyrE82_Broth-3,0,citr-L,citr-L.citr-L_1.Light,0.001705621,mM,t
rpomut02,OxicRph-pyrE82_Broth-4,0,citr-L,citr-L.citr-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-5,0,citr-L,citr-L.citr-L_1.Light,0.008964772,mM,t
rpomut02,OxicRph-pyrE82_Broth-6,0,citr-L,citr-L.citr-L_1.Light,,mM,t
rpomut02,OxicRph-pyrE82_Broth-1,0,cmp,cmp.cmp_1.Light,,mM,t
