experiment_id,model_id,mapping_id,sample_name_abbreviation,time_point,flux_units,used_,comment_,rxn_id,rxn_id_INCA,rxn_equation,flux_average,flux_stdev,flux_lb,flux_ub,flux_difference
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,PGM_reverse,R63,pep_c -> 3pg_c,7.0615,19.569,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,ENO,R62,3pg_c -> pep_c,18.6377,19.5216,10.723,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,ENO_reverse,R63,pep_c -> 3pg_c,7.0615,19.569,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,PheSYN,R64,e4p_c + glu_DASH_L_c + nadph_c + atp_c + pep_c + pep_c -> phe_DASH_L_c + co2_c + akg_c,0.1238,0.0014,0.1203,0.1272,0.0069
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;,PPC,R65,pep_c + co2_c -> oaa_c,3.93,0.602,2.9232,4.9885,2.0653
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,split;,PPCK,R66,oaa_c + atp_c -> pep_c + co2_c,0.3427,0.3498,0,1.0908,1.0908
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,aaSyn,ProSYN,R67,glu_DASH_L_c + atp_c + 2*nadph_c -> pro_DASH_L_c,0.1477,0.0017,0.1435,0.1518,0.0083
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,PRPPS,R68,r5p_c + atp_c -> prpp_c,0.0633,7.11E-04,0.0615,0.0651,0.0036
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,ACKr,R69,accoa_c -> atp_c + ac_c,2.137,22.0363,1.3689,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,ACKr_reverse,R70,atp_c + ac_c -> accoa_c,0.5815,22.033,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,PTAr,R69,accoa_c -> atp_c + ac_c,2.137,22.0363,1.3689,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,PTAr_reverse,R70,atp_c + ac_c -> accoa_c,0.5815,22.033,0,Inf,#VALUE!
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,RPE,R71,ru5p_DASH_D_c -> xu5p_DASH_D_c,6.7423,11.8244,6.5275,50.0695,43.542
WTEColi_113C80_U13C20_01,ecoli_RL2013_02,ecoli_RL2013_02,OxicWtGlc,0,mmol*gDCW-1*hr-1,TRUE,,RPE_reverse,R72,xu5p_DASH_D_c -> ru5p_DASH_D_c,6.3193,11.8018,2.0353,38.4644,36.4291
