experiment_id,sample_name_abbreviation,time_point,component_group_name,component_name,n_replicates_broth,calculated_concentration_broth_average,calculated_concentration_broth_cv,n_replicates_filtrate,calculated_concentration_filtrate_average,calculated_concentration_filtrate_cv,n_replicates,calculated_concentration_average,calculated_concentration_cv,calculated_concentration_units,extracellular_percent,used_,comment_
rpomut02,OxicRpoBE672K-rph-pyrE82,0,cmp,cmp.cmp_1.Light,6,0.050609971,56.69203948,0,0,0,6,0.050609971,56.69203948,mM,0,t,
rpomut02,OxicWtGlc,0,cmp,cmp.cmp_1.Light,6,0.031479028,11.85410402,0,0,0,6,0.031479028,11.85410402,mM,0,t,
rpomut02,OxicRph-pyrE82,0,coa,coa.coa_1.Light,6,0.163187846,38.01948556,2,0.189308975,2.997921028,6,0,0,mM,116.0067858,t,
rpomut02,OxicRpoBE546V,0,coa,coa.coa_1.Light,6,0.264267621,12.87520428,1,0.022201178,0,6,0.242066443,14.05605654,mM,8.401021017,t,
rpomut02,OxicRpoBE672K,0,coa,coa.coa_1.Light,6,0.221724675,14.69221956,2,0.008004925,40.10672638,6,0.21371975,15.31636536,mM,3.610299446,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,coa,coa.coa_1.Light,6,0.379910777,57.5334465,0,0,0,6,0.379910777,57.5334465,mM,0,t,
rpomut02,OxicWtGlc,0,coa,coa.coa_1.Light,6,0.174378136,5.095561079,0,0,0,6,0.174378136,5.095561079,mM,0,t,
rpomut02,OxicRph-pyrE82,0,ctp,ctp.ctp_1.Light,6,0.055086919,54.35570733,2,0.057569383,23.01139537,6,0,0,mM,104.5064485,t,
rpomut02,OxicRpoBE546V,0,ctp,ctp.ctp_1.Light,6,0.05141731,21.52388581,0,0,0,6,0.05141731,21.52388581,mM,0,t,
rpomut02,OxicRpoBE672K,0,ctp,ctp.ctp_1.Light,6,0.058209257,13.96293854,0,0,0,6,0.058209257,13.96293854,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,ctp,ctp.ctp_1.Light,6,0.097422844,68.05979093,0,0,0,6,0.097422844,68.05979093,mM,0,t,
rpomut02,OxicWtGlc,0,ctp,ctp.ctp_1.Light,6,0.063122304,35.51247619,0,0,0,6,0.063122304,35.51247619,mM,0,t,
rpomut02,OxicRpoBE546V,0,cytd,cytd.cytd_1.Light,6,0.001836065,23.33168149,0,0,0,6,0.001836065,23.33168149,mM,0,t,
rpomut02,OxicRpoBE672K,0,cytd,cytd.cytd_1.Light,6,0.001836207,75.43007931,0,0,0,6,0.001836207,75.43007931,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,cytd,cytd.cytd_1.Light,4,0.000943042,36.12415142,0,0,0,4,0.000943042,36.12415142,mM,0,t,
rpomut02,OxicWtGlc,0,cytd,cytd.cytd_1.Light,2,0.001901654,1.131291276,1,0.000398404,0,2,0.00150325,1.431116034,mM,20.95041564,t,
rpomut02,OxicRph-pyrE82,0,dadp,dadp.dadp_1.Light,6,0.010391807,42.13935744,2,0.00515211,5.183551576,6,0.005239697,83.72958553,mM,49.57857493,t,
rpomut02,OxicRpoBE546V,0,dadp,dadp.dadp_1.Light,6,0.020678955,38.03942739,0,0,0,6,0.020678955,38.03942739,mM,0,t,
rpomut02,OxicRpoBE672K,0,dadp,dadp.dadp_1.Light,6,0.015348743,18.41923542,0,0,0,6,0.015348743,18.41923542,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dadp,dadp.dadp_1.Light,6,0.031628643,84.55698679,0,0,0,6,0.031628643,84.55698679,mM,0,t,
rpomut02,OxicWtGlc,0,dadp,dadp.dadp_1.Light,6,0.012775677,39.55617507,0,0,0,6,0.012775677,39.55617507,mM,0,t,
rpomut02,OxicRph-pyrE82,0,damp,damp.damp_1.Light,6,0.000989699,58.12097741,2,0.001747649,6.536728098,6,0,0,mM,176.5838409,t,
rpomut02,OxicRpoBE546V,0,damp,damp.damp_1.Light,6,0.001628849,24.95874014,0,0,0,6,0.001628849,24.95874014,mM,0,t,
rpomut02,OxicRpoBE672K,0,damp,damp.damp_1.Light,6,0.001497751,19.53954291,0,0,0,6,0.001497751,19.53954291,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,damp,damp.damp_1.Light,6,0.003518013,90.42339629,1,0.000628907,0,6,0.002889106,110.1069749,mM,17.87677722,t,
rpomut02,OxicWtGlc,0,damp,damp.damp_1.Light,6,0.002374493,72.18603209,0,0,0,6,0.002374493,72.18603209,mM,0,t,
rpomut02,OxicRph-pyrE82,0,datp,datp.datp_1.Light,6,0.023018304,37.08833329,2,0.021680173,3.574682787,6,0.001338131,640.6106164,mM,94.18666488,t,
rpomut02,OxicRpoBE546V,0,datp,datp.datp_1.Light,6,0.030002587,9.126337672,0,0,0,6,0.030002587,9.126337672,mM,0,t,
rpomut02,OxicRpoBE672K,0,datp,datp.datp_1.Light,6,0.031045875,6.08611343,0,0,0,6,0.031045875,6.08611343,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,datp,datp.datp_1.Light,6,0.04774848,60.89431349,0,0,0,6,0.04774848,60.89431349,mM,0,t,
rpomut02,OxicWtGlc,0,datp,datp.datp_1.Light,6,0.02658303,28.88177953,0,0,0,6,0.02658303,28.88177953,mM,0,t,
rpomut02,OxicRph-pyrE82,0,dcdp,dcdp.dcdp_1.Light,6,0.022930837,27.44441286,2,0.015870462,1.589469585,6,0.007060375,89.20613124,mM,69.21013034,t,
rpomut02,OxicRpoBE546V,0,dcdp,dcdp.dcdp_1.Light,6,0.016850512,29.10452471,2,0.008851602,19.3905556,6,0.00799891,64.95801609,mM,52.53016615,t,
rpomut02,OxicRpoBE672K,0,dcdp,dcdp.dcdp_1.Light,6,0.015951681,16.67459385,2,0.008045749,9.307947758,6,0.007905932,34.95215891,mM,50.43825101,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dcdp,dcdp.dcdp_1.Light,6,0.037292064,70.11965416,2,0.011380844,10.90928212,6,0.02591122,101.0316171,mM,30.5181386,t,
rpomut02,OxicWtGlc,0,dcdp,dcdp.dcdp_1.Light,6,0.019679655,32.58361243,2,0.012074206,6.453544165,6,0.007605449,84.93270492,mM,61.3537502,t,
rpomut02,OxicRph-pyrE82,0,dcmp,dcmp.dcmp_1.Light,4,0.00149777,31.29714818,0,0,0,4,0.00149777,31.29714818,mM,0,t,
rpomut02,OxicRpoBE546V,0,dcmp,dcmp.dcmp_1.Light,2,0.001717175,17.85592826,0,0,0,2,0.001717175,17.85592826,mM,0,t,
rpomut02,OxicRpoBE672K,0,dcmp,dcmp.dcmp_1.Light,6,0.002133456,43.50340539,0,0,0,6,0.002133456,43.50340539,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dcmp,dcmp.dcmp_1.Light,6,0.005135587,60.22456623,0,0,0,6,0.005135587,60.22456623,mM,0,t,
rpomut02,OxicWtGlc,0,dcmp,dcmp.dcmp_1.Light,6,0.001074406,45.74101208,0,0,0,6,0.001074406,45.74101208,mM,0,t,
rpomut02,OxicRph-pyrE82,0,dctp,dctp.dctp_1.Light,6,0.018577156,46.97199841,2,0.023659571,16.09985812,6,0,0,mM,127.3584146,t,
rpomut02,OxicRpoBE546V,0,dctp,dctp.dctp_1.Light,6,0.023247404,14.2631818,0,0,0,6,0.023247404,14.2631818,mM,0,t,
rpomut02,OxicRpoBE672K,0,dctp,dctp.dctp_1.Light,6,0.027276178,9.066585402,0,0,0,6,0.027276178,9.066585402,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dctp,dctp.dctp_1.Light,6,0.04175594,56.04825838,0,0,0,6,0.04175594,56.04825838,mM,0,t,
rpomut02,OxicWtGlc,0,dctp,dctp.dctp_1.Light,6,0.019719288,28.42948564,0,0,0,6,0.019719288,28.42948564,mM,0,t,
rpomut02,OxicRpoBE546V,0,dhap,dhap.dhap_1.Light,3,0.287139405,11.13264101,0,0,0,3,0.287139405,11.13264101,mM,0,t,
rpomut02,OxicRpoBE672K,0,dhap,dhap.dhap_1.Light,6,0.282031213,8.0456361,0,0,0,6,0.282031213,8.0456361,mM,0,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dhap,dhap.dhap_1.Light,4,0.242070353,17.43091195,0,0,0,4,0.242070353,17.43091195,mM,0,t,
rpomut02,OxicWtGlc,0,dhap,dhap.dhap_1.Light,6,0.226891774,21.04450555,0,0,0,6,0.226891774,21.04450555,mM,0,t,
rpomut02,OxicRph-pyrE82,0,ditp,ditp.ditp_1.Light,6,0.015820242,40.83683496,2,0.013118567,5.878632041,6,0.002701675,240.8265984,mM,82.92266917,t,
rpomut02,OxicRpoBE546V,0,ditp,ditp.ditp_1.Light,6,0.005951359,36.72964284,2,0.003379856,52.26575224,6,0.002571502,109.2930777,mM,56.79134308,t,
rpomut02,OxicRpoBE672K,0,ditp,ditp.ditp_1.Light,6,0.00940361,18.29614476,2,0.009606998,15.18182167,6,0,0,mM,102.1628676,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,ditp,ditp.ditp_1.Light,6,0.006759592,62.07329826,0,0,0,6,0.006759592,62.07329826,mM,0,t,
rpomut02,OxicWtGlc,0,ditp,ditp.ditp_1.Light,6,0.0140317,33.09703465,2,0.010820683,25.15917428,6,0.003211017,167.6479277,mM,77.11598029,t,
rpomut02,OxicRph-pyrE82,0,dtmp,dtmp.dtmp_1.Light,6,0.008365415,51.47137906,2,0.01617026,1.234976999,6,0,0,mM,193.2989587,t,
rpomut02,OxicRpoBE546V,0,dtmp,dtmp.dtmp_1.Light,6,0.009394327,13.12973728,2,0.000126656,20.13898097,6,0.009267671,13.31201904,mM,1.34821505,t,
rpomut02,OxicRpoBE672K,0,dtmp,dtmp.dtmp_1.Light,6,0.00789111,3.663238866,2,9.38E-05,7.261642217,6,0.00779732,3.708330689,mM,1.188546423,t,
rpomut02,OxicRpoBE672K-rph-pyrE82,0,dtmp,dtmp.dtmp_1.Light,6,0.013214713,63.21327378,2,0.002977839,1.951732131,6,0.010236875,81.60356769,mM,22.53426468,t,
rpomut02,OxicWtGlc,0,dtmp,dtmp.dtmp_1.Light,6,0.013877504,13.8061539,2,0.000409046,1.155539654,6,0.013468458,14.22549904,mM,2.947546008,t,
rpomut02,OxicRph-pyrE82,0,dttp,dttp.dttp_1.Light,6,0.026408792,42.55887281,2,0.024974846,8.842195835,6,0.001433946,798.7870454,mM,94.57019289,t,
rpomut02,OxicRpoBE546V,0,dttp,dttp.dttp_1.Light,6,0.022103891,12.42542907,2,0.000650212,18.27377392,6,0.021453679,12.81398964,mM,2.941616806,t,
