"id","experiment_id","sample_name","sample_id","component_group_name","component_name","calculated_concentration","calculated_concentration_units","used_","comment_"
40495,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-4","140523_0_OxicRph-pyrE82GlcM9_Broth-4","accoa","accoa.accoa_1.Light",,"mM",t,""
40579,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-5","140523_0_OxicRph-pyrE82GlcM9_Broth-5","atp","atp.atp_1.Light",2.83596731526155,"mM",t,""
40570,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-5","140523_0_OxicRph-pyrE82GlcM9_Broth-5","23dpg","23dpg.23dpg_1.Light",0.023544195,"mM",t,""
40663,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-6","140523_0_OxicRph-pyrE82GlcM9_Broth-6","atp","atp.atp_1.Light",2.72008522046815,"mM",t,""
40654,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-6","140523_0_OxicRph-pyrE82GlcM9_Broth-6","23dpg","23dpg.23dpg_1.Light",0.01630131,"mM",t,""
40655,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Broth-6","140523_0_OxicRph-pyrE82GlcM9_Broth-6","accoa","accoa.accoa_1.Light",2.257498611,"mM",t,""
40747,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1","atp","atp.atp_1.Light",,"mM",t,""
40738,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1","23dpg","23dpg.23dpg_1.Light",0.005709434,"mM",t,"Replaced with the average of 140503_0_OxicRpoBE546VGlcM9_Filtrate-1,140503_0_OxicRpoBE546VGlcM9_Filtrate-4,140503_0_OxicRpoBE672KGlcM9_Filtrate-1,140503_0_OxicRpoBE672KGlcM9_Filtrate-4"
40811,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1-10.0x","140523_0_OxicRph-pyrE82GlcM9_Filtrate-1","s7p","s7p.s7p_1.Light",0.0478112419988657,"mM",t,""
40822,"rpomut02","140523_0_OxicRph-pyrE82GlcM9_Filtrate-4","140523_0_OxicRph-pyrE82GlcM9_Filtrate-4","atp","atp.atp_1.Light",,"mM",t,""
