ms_group,q1_mass,rt
fad.fad_m26-0,810.2365352,15
fad.fad_m27-0,811.23989,15
fad.fad_m3-0,787.1593739,15
fad.fad_m4-0,788.1627288,15
fad.fad_m5-0,789.1660836,15
fad.fad_m6-0,790.1694385,15
fad.fad_m7-0,791.1727933,15
fad.fad_m8-0,792.1761481,15
fad.fad_m9-0,793.179503,15
fdp.fdp_m0-0,338.9882239,15
fdp.fdp_m1-0,339.9915787,15
fdp.fdp_m2-0,340.9949336,15
fdp.fdp_m3-0,341.9982884,15
fdp.fdp_m4-0,343.0016433,15
fdp.fdp_m5-0,344.0049981,15
fdp.fdp_m6-0,345.0083529,15
g1p.g1p_m0-0,259.0219,7.47
g1p.g1p_m1-0,260.0252,8
g1p.g1p_m2-0,261.0286,8
g1p.g1p_m3-0,262.032,8
g1p.g1p_m4-0,263.0353,8
g1p.g1p_m5-0,264.0387,8
g1p.g1p_m6-0,265.042,8
g6p.g6p_m0-0,259.0218935,6
g6p.g6p_m1-0,260.0252483,6
g6p.g6p_m2-0,261.0286032,6
g6p.g6p_m3-0,262.031958,6
g6p.g6p_m4-0,263.0353128,6
g6p.g6p_m5-0,264.0386677,6
g6p.g6p_m6-0,265.0420225,6
glu-L.glu-L_m0-0,146.0453328,2.3
glu-L.glu-L_m1-1,147.0486876,2.3
glu-L.glu-L_m2-2,148.0520424,2.3
glu-L.glu-L_m3-3,149.0553973,2.3
glu-L.glu-L_m4-4,150.0587521,2.3
glu-L.glu-L_m5-5,151.0621069,2.3
glyc3p.glyc3p_m0-0,171.0058495,6.5
glyc3p.glyc3p_m1-0,172.0092043,6.5
glyc3p.glyc3p_m2-0,173.0125592,6.5
glyc3p.glyc3p_m3-0,174.015914,6.5
glyclt.glyclt_m0-0,75.00821896,2.9
glyclt.glyclt_m1-0,76.0115738,2.9
glyclt.glyclt_m1-1,76.0115738,2.9
glyclt.glyclt_m2-1,77.01492864,2.9
icit.icit_m0-0,191.0191776,14.7
icit.icit_m1-0,192.0225324,14.7
icit.icit_m1-1,192.0225324,14.7
icit.icit_m2-1,193.0258873,14.7
icit.icit_m2-2,193.0258873,14.7
icit.icit_m3-2,194.0292421,14.7
icit.icit_m3-3,194.0292421,14.7
icit.icit_m4-3,195.0325969,14.7
icit.icit_m4-4,195.0325969,14.7
icit.icit_m5-4,196.0359518,14.7
icit.icit_m5-5,196.0359518,14.7
icit.icit_m6-5,197.0393066,14.7
mal-L.mal-L_m0-0,133.0136983,12
mal-L.mal-L_m1-1,134.0170531,12
mal-L.mal-L_m2-2,135.0204079,12
mal-L.mal-L_m3-3,136.0237628,12
mal-L.mal-L_m4-4,137.0271176,12
met-L.met-L_m0-0,148.0432243,1.22
met-L.met-L_m1-0,149.0465791,1.22
